Epoch 00000 | Loss 2.3513 | Test Acc 0.3642 | Time(s) nan
Epoch 00001 | Loss 11.3845 | Test Acc 0.2036 | Time(s) nan
Epoch 00002 | Loss 2.3948 | Test Acc 0.1599 | Time(s) nan
Epoch 00003 | Loss 2.1415 | Test Acc 0.1603 | Time(s) 0.0171
Epoch 00004 | Loss 2.0671 | Test Acc 0.3646 | Time(s) 0.0200
Epoch 00005 | Loss 2.0043 | Test Acc 0.3642 | Time(s) 0.0189
Epoch 00006 | Loss 2.0613 | Test Acc 0.3646 | Time(s) 0.0183
Epoch 00007 | Loss 2.0183 | Test Acc 0.1908 | Time(s) 0.0179
Epoch 00008 | Loss 2.0144 | Test Acc 0.3642 | Time(s) 0.0176
Epoch 00009 | Loss 2.0045 | Test Acc 0.3642 | Time(s) 0.0174
Epoch 00010 | Loss 1.9893 | Test Acc 0.3642 | Time(s) 0.0173
Epoch 00011 | Loss 1.9430 | Test Acc 0.4358 | Time(s) 0.0173
Epoch 00012 | Loss 1.9331 | Test Acc 0.3642 | Time(s) 0.0173
Epoch 00013 | Loss 1.8943 | Test Acc 0.3642 | Time(s) 0.0173
Epoch 00014 | Loss 1.8323 | Test Acc 0.4424 | Time(s) 0.0173
Epoch 00015 | Loss 1.8061 | Test Acc 0.3708 | Time(s) 0.0173
Epoch 00016 | Loss 1.7096 | Test Acc 0.4867 | Time(s) 0.0173
Epoch 00017 | Loss 1.6058 | Test Acc 0.5089 | Time(s) 0.0173
Epoch 00018 | Loss 1.5344 | Test Acc 0.5729 | Time(s) 0.0172
Epoch 00019 | Loss 1.3970 | Test Acc 0.5765 | Time(s) 0.0172
Epoch 00020 | Loss 1.3106 | Test Acc 0.5478 | Time(s) 0.0171
Epoch 00021 | Loss 1.3489 | Test Acc 0.5525 | Time(s) 0.0171
Epoch 00022 | Loss 1.3159 | Test Acc 0.5293 | Time(s) 0.0170
Epoch 00023 | Loss 1.3561 | Test Acc 0.6118 | Time(s) 0.0171
Epoch 00024 | Loss 1.1733 | Test Acc 0.5802 | Time(s) 0.0171
Epoch 00025 | Loss 1.2766 | Test Acc 0.6332 | Time(s) 0.0170
Epoch 00026 | Loss 1.0787 | Test Acc 0.6321 | Time(s) 0.0170
Epoch 00027 | Loss 1.1260 | Test Acc 0.6474 | Time(s) 0.0170
Epoch 00028 | Loss 1.0747 | Test Acc 0.6834 | Time(s) 0.0169
Epoch 00029 | Loss 0.9817 | Test Acc 0.6841 | Time(s) 0.0169
Epoch 00030 | Loss 0.9634 | Test Acc 0.7023 | Time(s) 0.0169
Epoch 00031 | Loss 0.9349 | Test Acc 0.7125 | Time(s) 0.0168
Epoch 00032 | Loss 0.8775 | Test Acc 0.6994 | Time(s) 0.0168
Epoch 00033 | Loss 0.8461 | Test Acc 0.7143 | Time(s) 0.0168
Epoch 00034 | Loss 0.8045 | Test Acc 0.7343 | Time(s) 0.0168
Epoch 00035 | Loss 0.7662 | Test Acc 0.7230 | Time(s) 0.0168
Epoch 00036 | Loss 0.7678 | Test Acc 0.7103 | Time(s) 0.0168
Epoch 00037 | Loss 0.8711 | Test Acc 0.6132 | Time(s) 0.0168
Epoch 00038 | Loss 1.1410 | Test Acc 0.6961 | Time(s) 0.0167
Epoch 00039 | Loss 0.9510 | Test Acc 0.6463 | Time(s) 0.0167
Epoch 00040 | Loss 1.0618 | Test Acc 0.7539 | Time(s) 0.0167
Epoch 00041 | Loss 0.6940 | Test Acc 0.6383 | Time(s) 0.0168
Epoch 00042 | Loss 0.9863 | Test Acc 0.7666 | Time(s) 0.0167
Epoch 00043 | Loss 0.6956 | Test Acc 0.7063 | Time(s) 0.0168
Epoch 00044 | Loss 0.8105 | Test Acc 0.6939 | Time(s) 0.0168
Epoch 00045 | Loss 0.8165 | Test Acc 0.7285 | Time(s) 0.0168
Epoch 00046 | Loss 0.8085 | Test Acc 0.7415 | Time(s) 0.0168
Epoch 00047 | Loss 0.7135 | Test Acc 0.7197 | Time(s) 0.0168
Epoch 00048 | Loss 0.7604 | Test Acc 0.7546 | Time(s) 0.0168
Epoch 00049 | Loss 0.7285 | Test Acc 0.7615 | Time(s) 0.0168
Epoch 00050 | Loss 0.6960 | Test Acc 0.7681 | Time(s) 0.0168
Epoch 00051 | Loss 0.7073 | Test Acc 0.7605 | Time(s) 0.0168
Epoch 00052 | Loss 0.7222 | Test Acc 0.7605 | Time(s) 0.0167
Epoch 00053 | Loss 0.6977 | Test Acc 0.7583 | Time(s) 0.0168
Epoch 00054 | Loss 0.6509 | Test Acc 0.7699 | Time(s) 0.0167
Epoch 00055 | Loss 0.6416 | Test Acc 0.7670 | Time(s) 0.0167
Epoch 00056 | Loss 0.6563 | Test Acc 0.7761 | Time(s) 0.0168
Epoch 00057 | Loss 0.6173 | Test Acc 0.7739 | Time(s) 0.0168
Epoch 00058 | Loss 0.6108 | Test Acc 0.7913 | Time(s) 0.0168
Epoch 00059 | Loss 0.5946 | Test Acc 0.8001 | Time(s) 0.0168
Epoch 00060 | Loss 0.5874 | Test Acc 0.8110 | Time(s) 0.0168
Epoch 00061 | Loss 0.5668 | Test Acc 0.8113 | Time(s) 0.0168
Epoch 00062 | Loss 0.5601 | Test Acc 0.8077 | Time(s) 0.0168
Epoch 00063 | Loss 0.5577 | Test Acc 0.8182 | Time(s) 0.0168
Epoch 00064 | Loss 0.5406 | Test Acc 0.8150 | Time(s) 0.0167
Epoch 00065 | Loss 0.5373 | Test Acc 0.8146 | Time(s) 0.0167
Epoch 00066 | Loss 0.5281 | Test Acc 0.8204 | Time(s) 0.0167
Epoch 00067 | Loss 0.5154 | Test Acc 0.8270 | Time(s) 0.0167
Epoch 00068 | Loss 0.5115 | Test Acc 0.8262 | Time(s) 0.0167
Epoch 00069 | Loss 0.5080 | Test Acc 0.8299 | Time(s) 0.0167
Epoch 00070 | Loss 0.4963 | Test Acc 0.8284 | Time(s) 0.0167
Epoch 00071 | Loss 0.4928 | Test Acc 0.8342 | Time(s) 0.0167
Epoch 00072 | Loss 0.4838 | Test Acc 0.8306 | Time(s) 0.0167
Epoch 00073 | Loss 0.4771 | Test Acc 0.8357 | Time(s) 0.0167
Epoch 00074 | Loss 0.4730 | Test Acc 0.8386 | Time(s) 0.0167
Epoch 00075 | Loss 0.4637 | Test Acc 0.8455 | Time(s) 0.0167
Epoch 00076 | Loss 0.4587 | Test Acc 0.8481 | Time(s) 0.0167
Epoch 00077 | Loss 0.4537 | Test Acc 0.8441 | Time(s) 0.0167
Epoch 00078 | Loss 0.4536 | Test Acc 0.8528 | Time(s) 0.0167
Epoch 00079 | Loss 0.4483 | Test Acc 0.8553 | Time(s) 0.0167
Epoch 00080 | Loss 0.4356 | Test Acc 0.8586 | Time(s) 0.0167
Epoch 00081 | Loss 0.4349 | Test Acc 0.8539 | Time(s) 0.0167
Epoch 00082 | Loss 0.4329 | Test Acc 0.8633 | Time(s) 0.0167
Epoch 00083 | Loss 0.4234 | Test Acc 0.8611 | Time(s) 0.0167
Epoch 00084 | Loss 0.4192 | Test Acc 0.8630 | Time(s) 0.0166
Epoch 00085 | Loss 0.4197 | Test Acc 0.8408 | Time(s) 0.0166
Epoch 00086 | Loss 0.4380 | Test Acc 0.8477 | Time(s) 0.0166
Epoch 00087 | Loss 0.4433 | Test Acc 0.8510 | Time(s) 0.0166
Epoch 00088 | Loss 0.4293 | Test Acc 0.8644 | Time(s) 0.0166
Epoch 00089 | Loss 0.4004 | Test Acc 0.8604 | Time(s) 0.0166
Epoch 00090 | Loss 0.4205 | Test Acc 0.8481 | Time(s) 0.0166
Epoch 00091 | Loss 0.4411 | Test Acc 0.8670 | Time(s) 0.0166
Epoch 00092 | Loss 0.4052 | Test Acc 0.8684 | Time(s) 0.0166
