Epoch 00000 | Loss 2.2002 | Test Acc 0.3642 | Time(s) nan
Epoch 00001 | Loss 16.7342 | Test Acc 0.1559 | Time(s) nan
Epoch 00002 | Loss 5.4492 | Test Acc 0.1599 | Time(s) nan
Epoch 00003 | Loss 2.5865 | Test Acc 0.2443 | Time(s) 0.0166
Epoch 00004 | Loss 2.2150 | Test Acc 0.1418 | Time(s) 0.0166
Epoch 00005 | Loss 2.1159 | Test Acc 0.4148 | Time(s) 0.0166
Epoch 00006 | Loss 2.0240 | Test Acc 0.4238 | Time(s) 0.0166
Epoch 00007 | Loss 1.9815 | Test Acc 0.3693 | Time(s) 0.0166
Epoch 00008 | Loss 2.0336 | Test Acc 0.3650 | Time(s) 0.0165
Epoch 00009 | Loss 1.9454 | Test Acc 0.4649 | Time(s) 0.0164
Epoch 00010 | Loss 1.8949 | Test Acc 0.4871 | Time(s) 0.0164
Epoch 00011 | Loss 1.8495 | Test Acc 0.4169 | Time(s) 0.0163
Epoch 00012 | Loss 1.8019 | Test Acc 0.4500 | Time(s) 0.0163
Epoch 00013 | Loss 1.7152 | Test Acc 0.4486 | Time(s) 0.0163
Epoch 00014 | Loss 1.6427 | Test Acc 0.5344 | Time(s) 0.0163
Epoch 00015 | Loss 1.5710 | Test Acc 0.5485 | Time(s) 0.0163
Epoch 00016 | Loss 1.4913 | Test Acc 0.5449 | Time(s) 0.0162
Epoch 00017 | Loss 1.4092 | Test Acc 0.5329 | Time(s) 0.0162
Epoch 00018 | Loss 1.3418 | Test Acc 0.6318 | Time(s) 0.0162
Epoch 00019 | Loss 1.2844 | Test Acc 0.6474 | Time(s) 0.0162
Epoch 00020 | Loss 1.1990 | Test Acc 0.6430 | Time(s) 0.0162
Epoch 00021 | Loss 1.1649 | Test Acc 0.6452 | Time(s) 0.0161
Epoch 00022 | Loss 1.0925 | Test Acc 0.6449 | Time(s) 0.0161
Epoch 00023 | Loss 1.0506 | Test Acc 0.6499 | Time(s) 0.0161
Epoch 00024 | Loss 0.9983 | Test Acc 0.6798 | Time(s) 0.0161
Epoch 00025 | Loss 0.9434 | Test Acc 0.7045 | Time(s) 0.0161
Epoch 00026 | Loss 0.9028 | Test Acc 0.6881 | Time(s) 0.0161
Epoch 00027 | Loss 0.8612 | Test Acc 0.6987 | Time(s) 0.0161
Epoch 00028 | Loss 0.8227 | Test Acc 0.7434 | Time(s) 0.0161
Epoch 00029 | Loss 0.7757 | Test Acc 0.7557 | Time(s) 0.0161
Epoch 00030 | Loss 0.7431 | Test Acc 0.7459 | Time(s) 0.0161
Epoch 00031 | Loss 0.7231 | Test Acc 0.7379 | Time(s) 0.0161
Epoch 00032 | Loss 0.7471 | Test Acc 0.7117 | Time(s) 0.0161
Epoch 00033 | Loss 0.8283 | Test Acc 0.7612 | Time(s) 0.0161
Epoch 00034 | Loss 0.7222 | Test Acc 0.7463 | Time(s) 0.0161
Epoch 00035 | Loss 0.7262 | Test Acc 0.7692 | Time(s) 0.0161
Epoch 00036 | Loss 0.7083 | Test Acc 0.7935 | Time(s) 0.0161
Epoch 00037 | Loss 0.6297 | Test Acc 0.7906 | Time(s) 0.0161
Epoch 00038 | Loss 0.6736 | Test Acc 0.7935 | Time(s) 0.0161
Epoch 00039 | Loss 0.6078 | Test Acc 0.7884 | Time(s) 0.0161
Epoch 00040 | Loss 0.6238 | Test Acc 0.8157 | Time(s) 0.0161
Epoch 00041 | Loss 0.5802 | Test Acc 0.8012 | Time(s) 0.0161
Epoch 00042 | Loss 0.6020 | Test Acc 0.8059 | Time(s) 0.0161
Epoch 00043 | Loss 0.5632 | Test Acc 0.8008 | Time(s) 0.0161
Epoch 00044 | Loss 0.5701 | Test Acc 0.8186 | Time(s) 0.0161
Epoch 00045 | Loss 0.5508 | Test Acc 0.8270 | Time(s) 0.0161
Epoch 00046 | Loss 0.5399 | Test Acc 0.8135 | Time(s) 0.0161
Epoch 00047 | Loss 0.5469 | Test Acc 0.8186 | Time(s) 0.0161
Epoch 00048 | Loss 0.5190 | Test Acc 0.8273 | Time(s) 0.0161
Epoch 00049 | Loss 0.5337 | Test Acc 0.8339 | Time(s) 0.0161
Epoch 00050 | Loss 0.5068 | Test Acc 0.8262 | Time(s) 0.0161
Epoch 00051 | Loss 0.5227 | Test Acc 0.8357 | Time(s) 0.0161
Epoch 00052 | Loss 0.4975 | Test Acc 0.8397 | Time(s) 0.0161
Epoch 00053 | Loss 0.5028 | Test Acc 0.8382 | Time(s) 0.0161
Epoch 00054 | Loss 0.4889 | Test Acc 0.8332 | Time(s) 0.0161
Epoch 00055 | Loss 0.4877 | Test Acc 0.8361 | Time(s) 0.0161
Epoch 00056 | Loss 0.4806 | Test Acc 0.8419 | Time(s) 0.0161
Epoch 00057 | Loss 0.4770 | Test Acc 0.8379 | Time(s) 0.0161
Epoch 00058 | Loss 0.4697 | Test Acc 0.8404 | Time(s) 0.0161
Epoch 00059 | Loss 0.4639 | Test Acc 0.8484 | Time(s) 0.0161
Epoch 00060 | Loss 0.4599 | Test Acc 0.8459 | Time(s) 0.0161
Epoch 00061 | Loss 0.4572 | Test Acc 0.8473 | Time(s) 0.0161
Epoch 00062 | Loss 0.4491 | Test Acc 0.8451 | Time(s) 0.0161
Epoch 00063 | Loss 0.4465 | Test Acc 0.8506 | Time(s) 0.0161
Epoch 00064 | Loss 0.4402 | Test Acc 0.8473 | Time(s) 0.0161
Epoch 00065 | Loss 0.4381 | Test Acc 0.8524 | Time(s) 0.0161
Epoch 00066 | Loss 0.4336 | Test Acc 0.8524 | Time(s) 0.0161
Epoch 00067 | Loss 0.4295 | Test Acc 0.8513 | Time(s) 0.0162
Epoch 00068 | Loss 0.4264 | Test Acc 0.8535 | Time(s) 0.0162
Epoch 00069 | Loss 0.4219 | Test Acc 0.8571 | Time(s) 0.0162
Epoch 00070 | Loss 0.4284 | Test Acc 0.8488 | Time(s) 0.0162
Epoch 00071 | Loss 0.4467 | Test Acc 0.8292 | Time(s) 0.0162
Epoch 00072 | Loss 0.5216 | Test Acc 0.8364 | Time(s) 0.0162
Epoch 00073 | Loss 0.4589 | Test Acc 0.8510 | Time(s) 0.0162
Epoch 00074 | Loss 0.4244 | Test Acc 0.8415 | Time(s) 0.0162
