Epoch 00000 | Loss 2.4430 | Test Acc 0.3642 | Time(s) nan
Epoch 00001 | Loss 13.7152 | Test Acc 0.1599 | Time(s) nan
Epoch 00002 | Loss 2.6284 | Test Acc 0.1690 | Time(s) nan
Epoch 00003 | Loss 2.2015 | Test Acc 0.1585 | Time(s) 0.0168
Epoch 00004 | Loss 2.1691 | Test Acc 0.1589 | Time(s) 0.0187
Epoch 00005 | Loss 2.1070 | Test Acc 0.1818 | Time(s) 0.0190
Epoch 00006 | Loss 2.0317 | Test Acc 0.3642 | Time(s) 0.0195
Epoch 00007 | Loss 2.0099 | Test Acc 0.3642 | Time(s) 0.0196
Epoch 00008 | Loss 2.0448 | Test Acc 0.3642 | Time(s) 0.0197
Epoch 00009 | Loss 1.9971 | Test Acc 0.3642 | Time(s) 0.0196
Epoch 00010 | Loss 1.9917 | Test Acc 0.3642 | Time(s) 0.0198
Epoch 00011 | Loss 1.9461 | Test Acc 0.3642 | Time(s) 0.0199
Epoch 00012 | Loss 1.9442 | Test Acc 0.3642 | Time(s) 0.0198
Epoch 00013 | Loss 1.9258 | Test Acc 0.3642 | Time(s) 0.0198
Epoch 00014 | Loss 1.8703 | Test Acc 0.4584 | Time(s) 0.0197
Epoch 00015 | Loss 1.8578 | Test Acc 0.4344 | Time(s) 0.0196
Epoch 00016 | Loss 1.7719 | Test Acc 0.3642 | Time(s) 0.0196
Epoch 00017 | Loss 1.8003 | Test Acc 0.4151 | Time(s) 0.0195
Epoch 00018 | Loss 1.6422 | Test Acc 0.4955 | Time(s) 0.0195
Epoch 00019 | Loss 1.7680 | Test Acc 0.4885 | Time(s) 0.0194
Epoch 00020 | Loss 1.6373 | Test Acc 0.4366 | Time(s) 0.0192
Epoch 00021 | Loss 1.5030 | Test Acc 0.4148 | Time(s) 0.0190
Epoch 00022 | Loss 1.5957 | Test Acc 0.4696 | Time(s) 0.0189
Epoch 00023 | Loss 1.4218 | Test Acc 0.5660 | Time(s) 0.0188
Epoch 00024 | Loss 1.4569 | Test Acc 0.5594 | Time(s) 0.0187
Epoch 00025 | Loss 1.4064 | Test Acc 0.5002 | Time(s) 0.0186
Epoch 00026 | Loss 1.2973 | Test Acc 0.5772 | Time(s) 0.0185
Epoch 00027 | Loss 1.2296 | Test Acc 0.5798 | Time(s) 0.0184
Epoch 00028 | Loss 1.2174 | Test Acc 0.5722 | Time(s) 0.0183
