Epoch 00000 | Loss 2.0925 | Test Acc 0.2536 | Time(s) nan
Epoch 00001 | Loss 6.3941 | Test Acc 0.2203 | Time(s) nan
Epoch 00002 | Loss 2.8224 | Test Acc 0.1301 | Time(s) nan
Epoch 00003 | Loss 2.0625 | Test Acc 0.1399 | Time(s) 0.0125
Epoch 00004 | Loss 1.9785 | Test Acc 0.2203 | Time(s) 0.0128
Epoch 00005 | Loss 1.9432 | Test Acc 0.2536 | Time(s) 0.0127
Epoch 00006 | Loss 1.9448 | Test Acc 0.2209 | Time(s) 0.0128
Epoch 00007 | Loss 1.9034 | Test Acc 0.2203 | Time(s) 0.0127
Epoch 00008 | Loss 1.8992 | Test Acc 0.3516 | Time(s) 0.0127
Epoch 00009 | Loss 1.8601 | Test Acc 0.3745 | Time(s) 0.0127
Epoch 00010 | Loss 1.7997 | Test Acc 0.3366 | Time(s) 0.0127
Epoch 00011 | Loss 1.7865 | Test Acc 0.5183 | Time(s) 0.0126
Epoch 00012 | Loss 1.7072 | Test Acc 0.4137 | Time(s) 0.0126
Epoch 00013 | Loss 1.6329 | Test Acc 0.3621 | Time(s) 0.0126
Epoch 00014 | Loss 1.6031 | Test Acc 0.4771 | Time(s) 0.0127
Epoch 00015 | Loss 1.5454 | Test Acc 0.5190 | Time(s) 0.0127
Epoch 00016 | Loss 1.4430 | Test Acc 0.4837 | Time(s) 0.0127
Epoch 00017 | Loss 1.4498 | Test Acc 0.6745 | Time(s) 0.0127
Epoch 00018 | Loss 1.2849 | Test Acc 0.5379 | Time(s) 0.0127
Epoch 00019 | Loss 1.2954 | Test Acc 0.7346 | Time(s) 0.0127
Epoch 00020 | Loss 1.0497 | Test Acc 0.6170 | Time(s) 0.0127
Epoch 00021 | Loss 1.1283 | Test Acc 0.7673 | Time(s) 0.0127
Epoch 00022 | Loss 0.9265 | Test Acc 0.5719 | Time(s) 0.0127
Epoch 00023 | Loss 1.1646 | Test Acc 0.7366 | Time(s) 0.0127
Epoch 00024 | Loss 0.9134 | Test Acc 0.7301 | Time(s) 0.0127
Epoch 00025 | Loss 0.8980 | Test Acc 0.7673 | Time(s) 0.0127
Epoch 00026 | Loss 0.7195 | Test Acc 0.7706 | Time(s) 0.0128
Epoch 00027 | Loss 0.7958 | Test Acc 0.6850 | Time(s) 0.0128
Epoch 00028 | Loss 0.8696 | Test Acc 0.8000 | Time(s) 0.0128
Epoch 00029 | Loss 0.6411 | Test Acc 0.7281 | Time(s) 0.0128
Epoch 00030 | Loss 0.7712 | Test Acc 0.8000 | Time(s) 0.0128
Epoch 00031 | Loss 0.5951 | Test Acc 0.8327 | Time(s) 0.0128
Epoch 00032 | Loss 0.5633 | Test Acc 0.8137 | Time(s) 0.0127
Epoch 00033 | Loss 0.5937 | Test Acc 0.8575 | Time(s) 0.0127
Epoch 00034 | Loss 0.5131 | Test Acc 0.8490 | Time(s) 0.0127
Epoch 00035 | Loss 0.5077 | Test Acc 0.8608 | Time(s) 0.0128
Epoch 00036 | Loss 0.5105 | Test Acc 0.8935 | Time(s) 0.0127
Epoch 00037 | Loss 0.4553 | Test Acc 0.8699 | Time(s) 0.0127
Epoch 00038 | Loss 0.4645 | Test Acc 0.8797 | Time(s) 0.0127
Epoch 00039 | Loss 0.4637 | Test Acc 0.8980 | Time(s) 0.0127
Epoch 00040 | Loss 0.4123 | Test Acc 0.8843 | Time(s) 0.0127
Epoch 00041 | Loss 0.4188 | Test Acc 0.8961 | Time(s) 0.0127
Epoch 00042 | Loss 0.4469 | Test Acc 0.8791 | Time(s) 0.0127
Epoch 00043 | Loss 0.4188 | Test Acc 0.8993 | Time(s) 0.0127
Epoch 00044 | Loss 0.3967 | Test Acc 0.8967 | Time(s) 0.0127
Epoch 00045 | Loss 0.3925 | Test Acc 0.8869 | Time(s) 0.0127
Epoch 00046 | Loss 0.3894 | Test Acc 0.9033 | Time(s) 0.0127
Epoch 00047 | Loss 0.3835 | Test Acc 0.8974 | Time(s) 0.0127
Epoch 00048 | Loss 0.3752 | Test Acc 0.9092 | Time(s) 0.0127
Epoch 00049 | Loss 0.3576 | Test Acc 0.9072 | Time(s) 0.0127
Epoch 00050 | Loss 0.3564 | Test Acc 0.8987 | Time(s) 0.0127
Epoch 00051 | Loss 0.3614 | Test Acc 0.9033 | Time(s) 0.0127
Epoch 00052 | Loss 0.3508 | Test Acc 0.9105 | Time(s) 0.0127
Epoch 00053 | Loss 0.3436 | Test Acc 0.9072 | Time(s) 0.0127
Epoch 00054 | Loss 0.3448 | Test Acc 0.9124 | Time(s) 0.0127
Epoch 00055 | Loss 0.3390 | Test Acc 0.9092 | Time(s) 0.0127
Epoch 00056 | Loss 0.3325 | Test Acc 0.9052 | Time(s) 0.0127
Epoch 00057 | Loss 0.3351 | Test Acc 0.9085 | Time(s) 0.0127
Epoch 00058 | Loss 0.3308 | Test Acc 0.9052 | Time(s) 0.0127
Epoch 00059 | Loss 0.3252 | Test Acc 0.9157 | Time(s) 0.0127
Epoch 00060 | Loss 0.3245 | Test Acc 0.9118 | Time(s) 0.0127
Epoch 00061 | Loss 0.3200 | Test Acc 0.9124 | Time(s) 0.0127
Epoch 00062 | Loss 0.3167 | Test Acc 0.9105 | Time(s) 0.0127
Epoch 00063 | Loss 0.3169 | Test Acc 0.9092 | Time(s) 0.0127
Epoch 00064 | Loss 0.3131 | Test Acc 0.9137 | Time(s) 0.0127
Epoch 00065 | Loss 0.3094 | Test Acc 0.9131 | Time(s) 0.0127
Epoch 00066 | Loss 0.3084 | Test Acc 0.9203 | Time(s) 0.0127
Epoch 00067 | Loss 0.3048 | Test Acc 0.9157 | Time(s) 0.0127
Epoch 00068 | Loss 0.3027 | Test Acc 0.9157 | Time(s) 0.0127
Epoch 00069 | Loss 0.3023 | Test Acc 0.9078 | Time(s) 0.0127
Epoch 00070 | Loss 0.3028 | Test Acc 0.9163 | Time(s) 0.0127
Epoch 00071 | Loss 0.3123 | Test Acc 0.8902 | Time(s) 0.0127
Epoch 00072 | Loss 0.3213 | Test Acc 0.9033 | Time(s) 0.0127
Epoch 00073 | Loss 0.3671 | Test Acc 0.8771 | Time(s) 0.0128
Epoch 00074 | Loss 0.3396 | Test Acc 0.9105 | Time(s) 0.0128
Epoch 00075 | Loss 0.3257 | Test Acc 0.9229 | Time(s) 0.0128
Epoch 00076 | Loss 0.2895 | Test Acc 0.8941 | Time(s) 0.0128
Epoch 00077 | Loss 0.3167 | Test Acc 0.9118 | Time(s) 0.0128
Epoch 00078 | Loss 0.3337 | Test Acc 0.9190 | Time(s) 0.0128
Epoch 00079 | Loss 0.2868 | Test Acc 0.8725 | Time(s) 0.0128
Epoch 00080 | Loss 0.3413 | Test Acc 0.9098 | Time(s) 0.0128
Epoch 00081 | Loss 0.3367 | Test Acc 0.9196 | Time(s) 0.0128
Epoch 00082 | Loss 0.3005 | Test Acc 0.8686 | Time(s) 0.0128
Epoch 00083 | Loss 0.3384 | Test Acc 0.9144 | Time(s) 0.0128
Epoch 00084 | Loss 0.2862 | Test Acc 0.9085 | Time(s) 0.0128
Epoch 00085 | Loss 0.3189 | Test Acc 0.9196 | Time(s) 0.0128
Epoch 00086 | Loss 0.2859 | Test Acc 0.8987 | Time(s) 0.0128
Epoch 00087 | Loss 0.3002 | Test Acc 0.9229 | Time(s) 0.0128
Epoch 00088 | Loss 0.2847 | Test Acc 0.9150 | Time(s) 0.0128
Epoch 00089 | Loss 0.2974 | Test Acc 0.9222 | Time(s) 0.0128
Epoch 00090 | Loss 0.2726 | Test Acc 0.9157 | Time(s) 0.0128
Epoch 00091 | Loss 0.2861 | Test Acc 0.9183 | Time(s) 0.0128
Epoch 00092 | Loss 0.2817 | Test Acc 0.9209 | Time(s) 0.0128
Epoch 00093 | Loss 0.2730 | Test Acc 0.9157 | Time(s) 0.0128
Epoch 00094 | Loss 0.2754 | Test Acc 0.9235 | Time(s) 0.0128
Epoch 00095 | Loss 0.2656 | Test Acc 0.9216 | Time(s) 0.0128
Epoch 00096 | Loss 0.2709 | Test Acc 0.9235 | Time(s) 0.0128
Epoch 00097 | Loss 0.2612 | Test Acc 0.9190 | Time(s) 0.0128
Epoch 00098 | Loss 0.2665 | Test Acc 0.9242 | Time(s) 0.0128
Epoch 00099 | Loss 0.2703 | Test Acc 0.9301 | Time(s) 0.0128
Epoch 00100 | Loss 0.2552 | Test Acc 0.9203 | Time(s) 0.0128
Epoch 00101 | Loss 0.2634 | Test Acc 0.9242 | Time(s) 0.0128
Epoch 00102 | Loss 0.2596 | Test Acc 0.9261 | Time(s) 0.0128
Epoch 00103 | Loss 0.2526 | Test Acc 0.9255 | Time(s) 0.0128
Epoch 00104 | Loss 0.2552 | Test Acc 0.9288 | Time(s) 0.0128
Epoch 00105 | Loss 0.2633 | Test Acc 0.9229 | Time(s) 0.0128
Epoch 00106 | Loss 0.2531 | Test Acc 0.9222 | Time(s) 0.0128
Epoch 00107 | Loss 0.2497 | Test Acc 0.9222 | Time(s) 0.0128
Epoch 00108 | Loss 0.2525 | Test Acc 0.9301 | Time(s) 0.0128
Epoch 00109 | Loss 0.2468 | Test Acc 0.9288 | Time(s) 0.0128
Epoch 00110 | Loss 0.2410 | Test Acc 0.9275 | Time(s) 0.0128
Epoch 00111 | Loss 0.2498 | Test Acc 0.9176 | Time(s) 0.0128
Epoch 00112 | Loss 0.2476 | Test Acc 0.9294 | Time(s) 0.0128
Epoch 00113 | Loss 0.2392 | Test Acc 0.9275 | Time(s) 0.0128
Epoch 00114 | Loss 0.2419 | Test Acc 0.9333 | Time(s) 0.0128
Epoch 00115 | Loss 0.2338 | Test Acc 0.9333 | Time(s) 0.0128
Epoch 00116 | Loss 0.2350 | Test Acc 0.9301 | Time(s) 0.0128
Epoch 00117 | Loss 0.2360 | Test Acc 0.9294 | Time(s) 0.0128
Epoch 00118 | Loss 0.2300 | Test Acc 0.9301 | Time(s) 0.0128
Epoch 00119 | Loss 0.2322 | Test Acc 0.9288 | Time(s) 0.0128
Epoch 00120 | Loss 0.2371 | Test Acc 0.9242 | Time(s) 0.0128
Epoch 00121 | Loss 0.2580 | Test Acc 0.8856 | Time(s) 0.0128
Epoch 00122 | Loss 0.2861 | Test Acc 0.9216 | Time(s) 0.0128
Epoch 00123 | Loss 0.2776 | Test Acc 0.9346 | Time(s) 0.0128
Epoch 00124 | Loss 0.2385 | Test Acc 0.9255 | Time(s) 0.0128
Epoch 00125 | Loss 0.2550 | Test Acc 0.9281 | Time(s) 0.0128
Epoch 00126 | Loss 0.2543 | Test Acc 0.9235 | Time(s) 0.0128
Epoch 00127 | Loss 0.2637 | Test Acc 0.9255 | Time(s) 0.0128
Epoch 00128 | Loss 0.2436 | Test Acc 0.9294 | Time(s) 0.0128
Epoch 00129 | Loss 0.2399 | Test Acc 0.9261 | Time(s) 0.0128
Epoch 00130 | Loss 0.2434 | Test Acc 0.9275 | Time(s) 0.0128
Epoch 00131 | Loss 0.2373 | Test Acc 0.9255 | Time(s) 0.0128
Epoch 00132 | Loss 0.2392 | Test Acc 0.9275 | Time(s) 0.0128
Epoch 00133 | Loss 0.2378 | Test Acc 0.9281 | Time(s) 0.0128
Epoch 00134 | Loss 0.2320 | Test Acc 0.9307 | Time(s) 0.0128
Epoch 00135 | Loss 0.2307 | Test Acc 0.9333 | Time(s) 0.0128
Epoch 00136 | Loss 0.2274 | Test Acc 0.9320 | Time(s) 0.0128
Epoch 00137 | Loss 0.2252 | Test Acc 0.9301 | Time(s) 0.0128
Epoch 00138 | Loss 0.2261 | Test Acc 0.9353 | Time(s) 0.0128
Epoch 00139 | Loss 0.2225 | Test Acc 0.9346 | Time(s) 0.0128
Epoch 00140 | Loss 0.2182 | Test Acc 0.9314 | Time(s) 0.0128
Epoch 00141 | Loss 0.2217 | Test Acc 0.9281 | Time(s) 0.0128
Epoch 00142 | Loss 0.2474 | Test Acc 0.9288 | Time(s) 0.0128
Epoch 00143 | Loss 0.2187 | Test Acc 0.9281 | Time(s) 0.0128
Epoch 00144 | Loss 0.2162 | Test Acc 0.9294 | Time(s) 0.0128
Epoch 00145 | Loss 0.2337 | Test Acc 0.9275 | Time(s) 0.0128
Epoch 00146 | Loss 0.2206 | Test Acc 0.9353 | Time(s) 0.0128
Epoch 00147 | Loss 0.2185 | Test Acc 0.9327 | Time(s) 0.0128
Epoch 00148 | Loss 0.2114 | Test Acc 0.9281 | Time(s) 0.0128
Epoch 00149 | Loss 0.2138 | Test Acc 0.9373 | Time(s) 0.0128
Epoch 00150 | Loss 0.2172 | Test Acc 0.9353 | Time(s) 0.0128
Epoch 00151 | Loss 0.2103 | Test Acc 0.9327 | Time(s) 0.0128
Epoch 00152 | Loss 0.2086 | Test Acc 0.9392 | Time(s) 0.0128
Epoch 00153 | Loss 0.2088 | Test Acc 0.9353 | Time(s) 0.0128
Epoch 00154 | Loss 0.2068 | Test Acc 0.9307 | Time(s) 0.0128
Epoch 00155 | Loss 0.2070 | Test Acc 0.9327 | Time(s) 0.0128
Epoch 00156 | Loss 0.2097 | Test Acc 0.9288 | Time(s) 0.0128
Epoch 00157 | Loss 0.2134 | Test Acc 0.9320 | Time(s) 0.0128
Epoch 00158 | Loss 0.2247 | Test Acc 0.9288 | Time(s) 0.0128
Epoch 00159 | Loss 0.2113 | Test Acc 0.9327 | Time(s) 0.0128
Epoch 00160 | Loss 0.2107 | Test Acc 0.9307 | Time(s) 0.0128
Epoch 00161 | Loss 0.2126 | Test Acc 0.9216 | Time(s) 0.0128
Epoch 00162 | Loss 0.2274 | Test Acc 0.9203 | Time(s) 0.0128
Epoch 00163 | Loss 0.2833 | Test Acc 0.9327 | Time(s) 0.0128
Epoch 00164 | Loss 0.2067 | Test Acc 0.8902 | Time(s) 0.0128
Epoch 00165 | Loss 0.2855 | Test Acc 0.9052 | Time(s) 0.0129
Epoch 00166 | Loss 0.4238 | Test Acc 0.9098 | Time(s) 0.0129
Epoch 00167 | Loss 0.3650 | Test Acc 0.9111 | Time(s) 0.0129
Epoch 00168 | Loss 0.2472 | Test Acc 0.8621 | Time(s) 0.0130
Epoch 00169 | Loss 0.3724 | Test Acc 0.9046 | Time(s) 0.0130
Epoch 00170 | Loss 0.4101 | Test Acc 0.8876 | Time(s) 0.0130
Epoch 00171 | Loss 0.5529 | Test Acc 0.9039 | Time(s) 0.0130
Epoch 00172 | Loss 0.4155 | Test Acc 0.9026 | Time(s) 0.0130
Epoch 00173 | Loss 0.3038 | Test Acc 0.8922 | Time(s) 0.0130
Epoch 00174 | Loss 0.3177 | Test Acc 0.8928 | Time(s) 0.0130
