Epoch 00000 | Loss 2.1025 | Test Acc 0.2203 | Time(s) nan
Epoch 00001 | Loss 10.9824 | Test Acc 0.2536 | Time(s) nan
Epoch 00002 | Loss 5.7580 | Test Acc 0.2536 | Time(s) nan
Epoch 00003 | Loss 2.3019 | Test Acc 0.1451 | Time(s) 0.0115
Epoch 00004 | Loss 2.0977 | Test Acc 0.1824 | Time(s) 0.0116
Epoch 00005 | Loss 2.0352 | Test Acc 0.1595 | Time(s) 0.0116
Epoch 00006 | Loss 2.0078 | Test Acc 0.3725 | Time(s) 0.0116
Epoch 00007 | Loss 1.9800 | Test Acc 0.3503 | Time(s) 0.0120
Epoch 00008 | Loss 1.9077 | Test Acc 0.3464 | Time(s) 0.0119
Epoch 00009 | Loss 1.8112 | Test Acc 0.3523 | Time(s) 0.0122
Epoch 00010 | Loss 1.7441 | Test Acc 0.3542 | Time(s) 0.0120
Epoch 00011 | Loss 1.6711 | Test Acc 0.3529 | Time(s) 0.0119
Epoch 00012 | Loss 1.6279 | Test Acc 0.5288 | Time(s) 0.0124
Epoch 00013 | Loss 1.4800 | Test Acc 0.5118 | Time(s) 0.0125
Epoch 00014 | Loss 1.3942 | Test Acc 0.6595 | Time(s) 0.0124
Epoch 00015 | Loss 1.2809 | Test Acc 0.7464 | Time(s) 0.0123
Epoch 00016 | Loss 1.1773 | Test Acc 0.7902 | Time(s) 0.0122
Epoch 00017 | Loss 1.0548 | Test Acc 0.7549 | Time(s) 0.0121
Epoch 00018 | Loss 0.9344 | Test Acc 0.8052 | Time(s) 0.0121
Epoch 00019 | Loss 0.8559 | Test Acc 0.7105 | Time(s) 0.0121
Epoch 00020 | Loss 0.8297 | Test Acc 0.7765 | Time(s) 0.0120
Epoch 00021 | Loss 0.7977 | Test Acc 0.8105 | Time(s) 0.0120
Epoch 00022 | Loss 0.6565 | Test Acc 0.7712 | Time(s) 0.0119
Epoch 00023 | Loss 0.6716 | Test Acc 0.8242 | Time(s) 0.0119
Epoch 00024 | Loss 0.6122 | Test Acc 0.8301 | Time(s) 0.0119
Epoch 00025 | Loss 0.5574 | Test Acc 0.7902 | Time(s) 0.0118
Epoch 00026 | Loss 0.5814 | Test Acc 0.8569 | Time(s) 0.0118
Epoch 00027 | Loss 0.4774 | Test Acc 0.8588 | Time(s) 0.0118
Epoch 00028 | Loss 0.5117 | Test Acc 0.8771 | Time(s) 0.0118
Epoch 00029 | Loss 0.4379 | Test Acc 0.8484 | Time(s) 0.0117
Epoch 00030 | Loss 0.4652 | Test Acc 0.8941 | Time(s) 0.0117
Epoch 00031 | Loss 0.4386 | Test Acc 0.9000 | Time(s) 0.0117
Epoch 00032 | Loss 0.4183 | Test Acc 0.9039 | Time(s) 0.0117
Epoch 00033 | Loss 0.4067 | Test Acc 0.9039 | Time(s) 0.0117
Epoch 00034 | Loss 0.4001 | Test Acc 0.9065 | Time(s) 0.0117
Epoch 00035 | Loss 0.4210 | Test Acc 0.8869 | Time(s) 0.0117
Epoch 00036 | Loss 0.4055 | Test Acc 0.9039 | Time(s) 0.0117
Epoch 00037 | Loss 0.3737 | Test Acc 0.9170 | Time(s) 0.0117
Epoch 00038 | Loss 0.3699 | Test Acc 0.9137 | Time(s) 0.0117
Epoch 00039 | Loss 0.3765 | Test Acc 0.9092 | Time(s) 0.0117
Epoch 00040 | Loss 0.3608 | Test Acc 0.9085 | Time(s) 0.0117
Epoch 00041 | Loss 0.3448 | Test Acc 0.9235 | Time(s) 0.0117
Epoch 00042 | Loss 0.3354 | Test Acc 0.9261 | Time(s) 0.0117
Epoch 00043 | Loss 0.3371 | Test Acc 0.9242 | Time(s) 0.0117
Epoch 00044 | Loss 0.3163 | Test Acc 0.9137 | Time(s) 0.0116
Epoch 00045 | Loss 0.3214 | Test Acc 0.9203 | Time(s) 0.0116
Epoch 00046 | Loss 0.3134 | Test Acc 0.9327 | Time(s) 0.0116
Epoch 00047 | Loss 0.3035 | Test Acc 0.9333 | Time(s) 0.0116
Epoch 00048 | Loss 0.2912 | Test Acc 0.9196 | Time(s) 0.0116
Epoch 00049 | Loss 0.2928 | Test Acc 0.9229 | Time(s) 0.0116
Epoch 00050 | Loss 0.2869 | Test Acc 0.9261 | Time(s) 0.0116
Epoch 00051 | Loss 0.2897 | Test Acc 0.9261 | Time(s) 0.0116
Epoch 00052 | Loss 0.2975 | Test Acc 0.9314 | Time(s) 0.0116
