Epoch 00000 | Loss 2.0716 | Test Acc 0.2209 | Time(s) nan
Epoch 00001 | Loss 10.5897 | Test Acc 0.2536 | Time(s) nan
Epoch 00002 | Loss 5.2657 | Test Acc 0.1294 | Time(s) nan
Epoch 00003 | Loss 2.6129 | Test Acc 0.1085 | Time(s) 0.0124
Epoch 00004 | Loss 2.1933 | Test Acc 0.2190 | Time(s) 0.0124
Epoch 00005 | Loss 1.9864 | Test Acc 0.3850 | Time(s) 0.0123
Epoch 00006 | Loss 1.8971 | Test Acc 0.2549 | Time(s) 0.0124
Epoch 00007 | Loss 1.9079 | Test Acc 0.2569 | Time(s) 0.0122
Epoch 00008 | Loss 1.8707 | Test Acc 0.3261 | Time(s) 0.0122
Epoch 00009 | Loss 1.8371 | Test Acc 0.3392 | Time(s) 0.0123
Epoch 00010 | Loss 1.8130 | Test Acc 0.4941 | Time(s) 0.0123
Epoch 00011 | Loss 1.7176 | Test Acc 0.4529 | Time(s) 0.0122
Epoch 00012 | Loss 1.6279 | Test Acc 0.6072 | Time(s) 0.0122
Epoch 00013 | Loss 1.5259 | Test Acc 0.5052 | Time(s) 0.0122
Epoch 00014 | Loss 1.4328 | Test Acc 0.5157 | Time(s) 0.0122
Epoch 00015 | Loss 1.4551 | Test Acc 0.5458 | Time(s) 0.0122
Epoch 00016 | Loss 1.4676 | Test Acc 0.6529 | Time(s) 0.0122
Epoch 00017 | Loss 1.2289 | Test Acc 0.6190 | Time(s) 0.0122
Epoch 00018 | Loss 1.2397 | Test Acc 0.7176 | Time(s) 0.0123
Epoch 00019 | Loss 0.9919 | Test Acc 0.7765 | Time(s) 0.0123
Epoch 00020 | Loss 1.0017 | Test Acc 0.7007 | Time(s) 0.0122
Epoch 00021 | Loss 0.9961 | Test Acc 0.8268 | Time(s) 0.0122
Epoch 00022 | Loss 0.7443 | Test Acc 0.7458 | Time(s) 0.0122
Epoch 00023 | Loss 0.8133 | Test Acc 0.7784 | Time(s) 0.0121
Epoch 00024 | Loss 0.7145 | Test Acc 0.8144 | Time(s) 0.0121
Epoch 00025 | Loss 0.6861 | Test Acc 0.8190 | Time(s) 0.0121
Epoch 00026 | Loss 0.6035 | Test Acc 0.8190 | Time(s) 0.0120
Epoch 00027 | Loss 0.5792 | Test Acc 0.8000 | Time(s) 0.0120
Epoch 00028 | Loss 0.6336 | Test Acc 0.7824 | Time(s) 0.0120
Epoch 00029 | Loss 0.6211 | Test Acc 0.8288 | Time(s) 0.0120
Epoch 00030 | Loss 0.6718 | Test Acc 0.8641 | Time(s) 0.0120
Epoch 00031 | Loss 0.4928 | Test Acc 0.8373 | Time(s) 0.0120
Epoch 00032 | Loss 0.5294 | Test Acc 0.8497 | Time(s) 0.0120
Epoch 00033 | Loss 0.5316 | Test Acc 0.8830 | Time(s) 0.0120
Epoch 00034 | Loss 0.4524 | Test Acc 0.8425 | Time(s) 0.0120
Epoch 00035 | Loss 0.4975 | Test Acc 0.9007 | Time(s) 0.0120
Epoch 00036 | Loss 0.4237 | Test Acc 0.8954 | Time(s) 0.0120
Epoch 00037 | Loss 0.4452 | Test Acc 0.9098 | Time(s) 0.0120
Epoch 00038 | Loss 0.4054 | Test Acc 0.8967 | Time(s) 0.0120
