Epoch 00418 | Loss 0.1153 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00419 | Loss 0.1229 | Test Acc 0.9497 | Time(s) 0.0125
Epoch 00420 | Loss 0.1135 | Test Acc 0.9549 | Time(s) 0.0125
Epoch 00421 | Loss 0.1095 | Test Acc 0.9484 | Time(s) 0.0125
Epoch 00422 | Loss 0.1156 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00423 | Loss 0.1125 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00424 | Loss 0.1104 | Test Acc 0.9490 | Time(s) 0.0125
Epoch 00425 | Loss 0.1147 | Test Acc 0.9477 | Time(s) 0.0125
Epoch 00426 | Loss 0.1192 | Test Acc 0.9444 | Time(s) 0.0125
Epoch 00427 | Loss 0.1242 | Test Acc 0.9503 | Time(s) 0.0125
Epoch 00428 | Loss 0.1145 | Test Acc 0.9484 | Time(s) 0.0125
Epoch 00429 | Loss 0.1114 | Test Acc 0.9477 | Time(s) 0.0125
Epoch 00430 | Loss 0.1213 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00431 | Loss 0.1105 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00432 | Loss 0.1153 | Test Acc 0.9490 | Time(s) 0.0125
Epoch 00433 | Loss 0.1179 | Test Acc 0.9490 | Time(s) 0.0125
Epoch 00434 | Loss 0.1140 | Test Acc 0.9503 | Time(s) 0.0125
Epoch 00435 | Loss 0.1150 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00436 | Loss 0.1066 | Test Acc 0.9497 | Time(s) 0.0125
Epoch 00437 | Loss 0.1156 | Test Acc 0.9510 | Time(s) 0.0125
Epoch 00438 | Loss 0.1130 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00439 | Loss 0.1046 | Test Acc 0.9471 | Time(s) 0.0125
Epoch 00440 | Loss 0.1123 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00441 | Loss 0.1151 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00442 | Loss 0.1096 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00443 | Loss 0.1047 | Test Acc 0.9497 | Time(s) 0.0125
Epoch 00444 | Loss 0.1102 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00445 | Loss 0.1032 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00446 | Loss 0.1082 | Test Acc 0.9451 | Time(s) 0.0125
Epoch 00447 | Loss 0.1140 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00448 | Loss 0.1077 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00449 | Loss 0.1079 | Test Acc 0.9497 | Time(s) 0.0125
Epoch 00450 | Loss 0.1079 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00451 | Loss 0.1065 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00452 | Loss 0.1020 | Test Acc 0.9503 | Time(s) 0.0125
Epoch 00453 | Loss 0.1059 | Test Acc 0.9503 | Time(s) 0.0125
Epoch 00454 | Loss 0.1035 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00455 | Loss 0.1023 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00456 | Loss 0.1027 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00457 | Loss 0.1010 | Test Acc 0.9510 | Time(s) 0.0125
Epoch 00458 | Loss 0.1008 | Test Acc 0.9556 | Time(s) 0.0125
Epoch 00459 | Loss 0.1002 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00460 | Loss 0.0993 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00461 | Loss 0.0992 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00462 | Loss 0.0985 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00463 | Loss 0.0974 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00464 | Loss 0.0978 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00465 | Loss 0.0966 | Test Acc 0.9562 | Time(s) 0.0125
Epoch 00466 | Loss 0.0962 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00467 | Loss 0.0961 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00468 | Loss 0.0955 | Test Acc 0.9556 | Time(s) 0.0125
Epoch 00469 | Loss 0.0947 | Test Acc 0.9562 | Time(s) 0.0125
Epoch 00470 | Loss 0.0948 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00471 | Loss 0.0948 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00472 | Loss 0.0936 | Test Acc 0.9549 | Time(s) 0.0125
Epoch 00473 | Loss 0.0936 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00474 | Loss 0.0933 | Test Acc 0.9569 | Time(s) 0.0125
Epoch 00475 | Loss 0.0933 | Test Acc 0.9536 | Time(s) 0.0125
Epoch 00476 | Loss 0.0932 | Test Acc 0.9556 | Time(s) 0.0125
Epoch 00477 | Loss 0.0924 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00478 | Loss 0.0921 | Test Acc 0.9562 | Time(s) 0.0125
Epoch 00479 | Loss 0.0915 | Test Acc 0.9556 | Time(s) 0.0125
Epoch 00480 | Loss 0.0914 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00481 | Loss 0.0914 | Test Acc 0.9542 | Time(s) 0.0125
Epoch 00482 | Loss 0.0914 | Test Acc 0.9510 | Time(s) 0.0125
Epoch 00483 | Loss 0.0913 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00484 | Loss 0.0910 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00485 | Loss 0.0908 | Test Acc 0.9549 | Time(s) 0.0125
Epoch 00486 | Loss 0.0904 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00487 | Loss 0.0905 | Test Acc 0.9549 | Time(s) 0.0125
Epoch 00488 | Loss 0.0900 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00489 | Loss 0.0899 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00490 | Loss 0.0896 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00491 | Loss 0.0893 | Test Acc 0.9562 | Time(s) 0.0125
Epoch 00492 | Loss 0.0890 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00493 | Loss 0.0887 | Test Acc 0.9549 | Time(s) 0.0125
Epoch 00494 | Loss 0.0884 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00495 | Loss 0.0882 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00496 | Loss 0.0882 | Test Acc 0.9516 | Time(s) 0.0125
Epoch 00497 | Loss 0.0887 | Test Acc 0.9523 | Time(s) 0.0125
Epoch 00498 | Loss 0.0890 | Test Acc 0.9529 | Time(s) 0.0125
Epoch 00499 | Loss 0.0905 | Test Acc 0.9523 | Time(s) 0.0125
Best Test Acc 0.9569 at Epoch 00398
