Epoch 00000 | Loss 1.7931 | Test Acc 0.2330 | Time(s) nan
Epoch 00001 | Loss 1.7886 | Test Acc 0.2490 | Time(s) nan
Epoch 00002 | Loss 1.7745 | Test Acc 0.2440 | Time(s) nan
Epoch 00003 | Loss 1.7405 | Test Acc 0.3140 | Time(s) 0.0091
Epoch 00004 | Loss 1.6790 | Test Acc 0.3520 | Time(s) 0.0092
Epoch 00005 | Loss 1.5782 | Test Acc 0.3300 | Time(s) 0.0091
Epoch 00006 | Loss 1.4292 | Test Acc 0.3940 | Time(s) 0.0091
Epoch 00007 | Loss 1.2327 | Test Acc 0.5070 | Time(s) 0.0091
Epoch 00008 | Loss 1.0048 | Test Acc 0.5850 | Time(s) 0.0091
Epoch 00009 | Loss 0.7713 | Test Acc 0.6010 | Time(s) 0.0091
Epoch 00010 | Loss 0.5666 | Test Acc 0.6040 | Time(s) 0.0091
Epoch 00011 | Loss 0.4098 | Test Acc 0.6280 | Time(s) 0.0090
Epoch 00012 | Loss 0.2926 | Test Acc 0.6260 | Time(s) 0.0090
Epoch 00013 | Loss 0.2037 | Test Acc 0.5840 | Time(s) 0.0090
Epoch 00014 | Loss 0.1363 | Test Acc 0.5520 | Time(s) 0.0092
Epoch 00015 | Loss 0.0893 | Test Acc 0.5230 | Time(s) 0.0092
Epoch 00016 | Loss 0.0650 | Test Acc 0.5010 | Time(s) 0.0091
Epoch 00017 | Loss 0.0548 | Test Acc 0.5800 | Time(s) 0.0091
Epoch 00018 | Loss 0.0607 | Test Acc 0.5370 | Time(s) 0.0091
Epoch 00019 | Loss 0.0300 | Test Acc 0.4880 | Time(s) 0.0091
Epoch 00020 | Loss 0.0423 | Test Acc 0.5460 | Time(s) 0.0091
Epoch 00021 | Loss 0.0186 | Test Acc 0.5530 | Time(s) 0.0091
Epoch 00022 | Loss 0.0355 | Test Acc 0.5300 | Time(s) 0.0091
Epoch 00023 | Loss 0.0189 | Test Acc 0.5060 | Time(s) 0.0091
Epoch 00024 | Loss 0.0460 | Test Acc 0.5840 | Time(s) 0.0091
Epoch 00025 | Loss 0.0077 | Test Acc 0.6160 | Time(s) 0.0097
Epoch 00026 | Loss 0.0173 | Test Acc 0.5990 | Time(s) 0.0099
Epoch 00027 | Loss 0.0108 | Test Acc 0.5570 | Time(s) 0.0099
Epoch 00028 | Loss 0.0021 | Test Acc 0.5090 | Time(s) 0.0099
Epoch 00029 | Loss 0.0025 | Test Acc 0.4800 | Time(s) 0.0099
Epoch 00030 | Loss 0.0075 | Test Acc 0.4780 | Time(s) 0.0099
Epoch 00031 | Loss 0.0038 | Test Acc 0.4930 | Time(s) 0.0099
Epoch 00032 | Loss 0.0019 | Test Acc 0.5040 | Time(s) 0.0099
Epoch 00033 | Loss 0.0012 | Test Acc 0.5240 | Time(s) 0.0099
Epoch 00034 | Loss 0.0010 | Test Acc 0.5380 | Time(s) 0.0099
Epoch 00035 | Loss 0.0008 | Test Acc 0.5560 | Time(s) 0.0099
Epoch 00036 | Loss 0.0005 | Test Acc 0.5640 | Time(s) 0.0099
Epoch 00037 | Loss 0.0004 | Test Acc 0.5810 | Time(s) 0.0099
Epoch 00038 | Loss 0.0003 | Test Acc 0.5760 | Time(s) 0.0099
