Epoch 00000 | Loss 1.7925 | Test Acc 0.1520 | Time(s) nan
Epoch 00001 | Loss 1.7828 | Test Acc 0.2830 | Time(s) nan
Epoch 00002 | Loss 1.7397 | Test Acc 0.3730 | Time(s) nan
Epoch 00003 | Loss 1.6476 | Test Acc 0.5380 | Time(s) 0.0096
Epoch 00004 | Loss 1.4923 | Test Acc 0.6080 | Time(s) 0.0096
Epoch 00005 | Loss 1.2655 | Test Acc 0.6470 | Time(s) 0.0097
Epoch 00006 | Loss 0.9824 | Test Acc 0.6710 | Time(s) 0.0096
Epoch 00007 | Loss 0.6852 | Test Acc 0.6720 | Time(s) 0.0096
Epoch 00008 | Loss 0.4311 | Test Acc 0.6620 | Time(s) 0.0096
Epoch 00009 | Loss 0.2522 | Test Acc 0.6530 | Time(s) 0.0095
Epoch 00010 | Loss 0.1438 | Test Acc 0.6400 | Time(s) 0.0096
Epoch 00011 | Loss 0.0821 | Test Acc 0.6180 | Time(s) 0.0095
Epoch 00012 | Loss 0.0456 | Test Acc 0.6160 | Time(s) 0.0096
Epoch 00013 | Loss 0.0257 | Test Acc 0.5990 | Time(s) 0.0096
Epoch 00014 | Loss 0.0155 | Test Acc 0.6010 | Time(s) 0.0096
Epoch 00015 | Loss 0.0092 | Test Acc 0.6030 | Time(s) 0.0096
Epoch 00016 | Loss 0.0052 | Test Acc 0.6040 | Time(s) 0.0096
Epoch 00017 | Loss 0.0028 | Test Acc 0.6060 | Time(s) 0.0096
Epoch 00018 | Loss 0.0015 | Test Acc 0.6120 | Time(s) 0.0095
Epoch 00019 | Loss 0.0008 | Test Acc 0.6170 | Time(s) 0.0095
Epoch 00020 | Loss 0.0004 | Test Acc 0.6230 | Time(s) 0.0095
Epoch 00021 | Loss 0.0002 | Test Acc 0.6290 | Time(s) 0.0095
Epoch 00022 | Loss 0.0001 | Test Acc 0.6310 | Time(s) 0.0095
Epoch 00023 | Loss 0.0001 | Test Acc 0.6340 | Time(s) 0.0095
Epoch 00024 | Loss 0.0000 | Test Acc 0.6360 | Time(s) 0.0095
Epoch 00025 | Loss 0.0000 | Test Acc 0.6360 | Time(s) 0.0095
Epoch 00026 | Loss 0.0000 | Test Acc 0.6380 | Time(s) 0.0095
Epoch 00027 | Loss 0.0000 | Test Acc 0.6390 | Time(s) 0.0095
Epoch 00028 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0095
Epoch 00029 | Loss 0.0000 | Test Acc 0.6420 | Time(s) 0.0095
Epoch 00030 | Loss 0.0000 | Test Acc 0.6410 | Time(s) 0.0095
Epoch 00031 | Loss 0.0000 | Test Acc 0.6420 | Time(s) 0.0095
Epoch 00032 | Loss 0.0000 | Test Acc 0.6420 | Time(s) 0.0095
Epoch 00033 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0095
Epoch 00034 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0095
Epoch 00035 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0094
Epoch 00036 | Loss 0.0000 | Test Acc 0.6420 | Time(s) 0.0095
Epoch 00037 | Loss 0.0000 | Test Acc 0.6420 | Time(s) 0.0095
Epoch 00038 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0095
Epoch 00039 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0095
Epoch 00040 | Loss 0.0000 | Test Acc 0.6420 | Time(s) 0.0095
Epoch 00041 | Loss 0.0000 | Test Acc 0.6430 | Time(s) 0.0095
