Epoch 00000 | Loss 1.7932 | Test Acc 0.1690 | Time(s) nan
Epoch 00001 | Loss 1.7851 | Test Acc 0.2420 | Time(s) nan
Epoch 00002 | Loss 1.7614 | Test Acc 0.2510 | Time(s) nan
Epoch 00003 | Loss 1.7084 | Test Acc 0.4050 | Time(s) 0.0127
Epoch 00004 | Loss 1.6159 | Test Acc 0.4140 | Time(s) 0.0137
Epoch 00005 | Loss 1.4746 | Test Acc 0.4800 | Time(s) 0.0135
Epoch 00006 | Loss 1.2763 | Test Acc 0.5080 | Time(s) 0.0144
Epoch 00007 | Loss 1.0321 | Test Acc 0.5490 | Time(s) 0.0139
Epoch 00008 | Loss 0.7716 | Test Acc 0.5900 | Time(s) 0.0139
Epoch 00009 | Loss 0.5376 | Test Acc 0.5950 | Time(s) 0.0137
Epoch 00010 | Loss 0.3627 | Test Acc 0.5790 | Time(s) 0.0135
Epoch 00011 | Loss 0.2494 | Test Acc 0.5400 | Time(s) 0.0133
Epoch 00012 | Loss 0.1699 | Test Acc 0.5920 | Time(s) 0.0132
Epoch 00013 | Loss 0.1140 | Test Acc 0.5390 | Time(s) 0.0131
Epoch 00014 | Loss 0.0798 | Test Acc 0.6000 | Time(s) 0.0130
Epoch 00015 | Loss 0.0502 | Test Acc 0.5850 | Time(s) 0.0129
Epoch 00016 | Loss 0.0385 | Test Acc 0.5680 | Time(s) 0.0128
Epoch 00017 | Loss 0.0321 | Test Acc 0.5480 | Time(s) 0.0127
Epoch 00018 | Loss 0.0204 | Test Acc 0.5630 | Time(s) 0.0126
Epoch 00019 | Loss 0.0141 | Test Acc 0.5800 | Time(s) 0.0126
Epoch 00020 | Loss 0.0083 | Test Acc 0.5790 | Time(s) 0.0125
Epoch 00021 | Loss 0.0082 | Test Acc 0.5760 | Time(s) 0.0124
Epoch 00022 | Loss 0.0037 | Test Acc 0.5570 | Time(s) 0.0123
Epoch 00023 | Loss 0.0031 | Test Acc 0.5440 | Time(s) 0.0123
Epoch 00024 | Loss 0.0029 | Test Acc 0.5520 | Time(s) 0.0122
Epoch 00025 | Loss 0.0014 | Test Acc 0.5570 | Time(s) 0.0122
Epoch 00026 | Loss 0.0009 | Test Acc 0.5690 | Time(s) 0.0121
Epoch 00027 | Loss 0.0004 | Test Acc 0.5810 | Time(s) 0.0121
Epoch 00028 | Loss 0.0005 | Test Acc 0.5880 | Time(s) 0.0120
Epoch 00029 | Loss 0.0008 | Test Acc 0.5920 | Time(s) 0.0121
Epoch 00030 | Loss 0.0005 | Test Acc 0.5880 | Time(s) 0.0122
Epoch 00031 | Loss 0.0002 | Test Acc 0.5800 | Time(s) 0.0123
Epoch 00032 | Loss 0.0001 | Test Acc 0.5770 | Time(s) 0.0122
Epoch 00033 | Loss 0.0001 | Test Acc 0.5750 | Time(s) 0.0121
Epoch 00034 | Loss 0.0001 | Test Acc 0.5740 | Time(s) 0.0120
Epoch 00035 | Loss 0.0001 | Test Acc 0.5700 | Time(s) 0.0119
Epoch 00036 | Loss 0.0001 | Test Acc 0.5660 | Time(s) 0.0119
Epoch 00037 | Loss 0.0001 | Test Acc 0.5610 | Time(s) 0.0118
Epoch 00038 | Loss 0.0001 | Test Acc 0.5580 | Time(s) 0.0117
Epoch 00039 | Loss 0.0000 | Test Acc 0.5560 | Time(s) 0.0118
Epoch 00040 | Loss 0.0000 | Test Acc 0.5590 | Time(s) 0.0118
Epoch 00041 | Loss 0.0000 | Test Acc 0.5540 | Time(s) 0.0118
Epoch 00042 | Loss 0.0000 | Test Acc 0.5530 | Time(s) 0.0117
Epoch 00043 | Loss 0.0000 | Test Acc 0.5550 | Time(s) 0.0116
Epoch 00044 | Loss 0.0000 | Test Acc 0.5580 | Time(s) 0.0116
Epoch 00045 | Loss 0.0000 | Test Acc 0.5570 | Time(s) 0.0115
Epoch 00046 | Loss 0.0000 | Test Acc 0.5560 | Time(s) 0.0115
Epoch 00047 | Loss 0.0000 | Test Acc 0.5560 | Time(s) 0.0114
Epoch 00048 | Loss 0.0000 | Test Acc 0.5530 | Time(s) 0.0114
Epoch 00049 | Loss 0.0000 | Test Acc 0.5540 | Time(s) 0.0113
Epoch 00050 | Loss 0.0000 | Test Acc 0.5540 | Time(s) 0.0113
Epoch 00051 | Loss 0.0000 | Test Acc 0.5530 | Time(s) 0.0112
Epoch 00052 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0112
Epoch 00053 | Loss 0.0000 | Test Acc 0.5500 | Time(s) 0.0113
Epoch 00054 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0114
Epoch 00055 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0114
Epoch 00056 | Loss 0.0000 | Test Acc 0.5500 | Time(s) 0.0114
Epoch 00057 | Loss 0.0000 | Test Acc 0.5480 | Time(s) 0.0113
Epoch 00058 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0113
Epoch 00059 | Loss 0.0000 | Test Acc 0.5480 | Time(s) 0.0113
Epoch 00060 | Loss 0.0000 | Test Acc 0.5480 | Time(s) 0.0113
Epoch 00061 | Loss 0.0000 | Test Acc 0.5480 | Time(s) 0.0112
Epoch 00062 | Loss 0.0000 | Test Acc 0.5480 | Time(s) 0.0112
Epoch 00063 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0112
Epoch 00064 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0112
Epoch 00065 | Loss 0.0000 | Test Acc 0.5500 | Time(s) 0.0112
Epoch 00066 | Loss 0.0000 | Test Acc 0.5500 | Time(s) 0.0111
Epoch 00067 | Loss 0.0000 | Test Acc 0.5500 | Time(s) 0.0111
Epoch 00068 | Loss 0.0000 | Test Acc 0.5490 | Time(s) 0.0111
