Epoch 00000 | Loss 2.7163 | Test Acc 0.3253 | Time(s) nan
Epoch 00001 | Loss 2.0865 | Test Acc 0.5192 | Time(s) nan
Epoch 00002 | Loss 1.5765 | Test Acc 0.5198 | Time(s) nan
Epoch 00003 | Loss 1.4303 | Test Acc 0.7246 | Time(s) 0.0193
Epoch 00004 | Loss 1.0810 | Test Acc 0.7987 | Time(s) 0.0192
Epoch 00005 | Loss 0.8987 | Test Acc 0.8296 | Time(s) 0.0206
Epoch 00006 | Loss 0.6955 | Test Acc 0.8391 | Time(s) 0.0202
Epoch 00007 | Loss 0.6269 | Test Acc 0.8617 | Time(s) 0.0198
Epoch 00008 | Loss 0.5519 | Test Acc 0.8743 | Time(s) 0.0196
Epoch 00009 | Loss 0.4901 | Test Acc 0.8890 | Time(s) 0.0193
Epoch 00010 | Loss 0.4789 | Test Acc 0.8931 | Time(s) 0.0192
Epoch 00011 | Loss 0.4705 | Test Acc 0.8936 | Time(s) 0.0191
Epoch 00012 | Loss 0.4299 | Test Acc 0.8991 | Time(s) 0.0190
Epoch 00013 | Loss 0.4092 | Test Acc 0.9054 | Time(s) 0.0189
Epoch 00014 | Loss 0.3844 | Test Acc 0.9067 | Time(s) 0.0188
Epoch 00015 | Loss 0.3590 | Test Acc 0.9086 | Time(s) 0.0188
Epoch 00016 | Loss 0.3286 | Test Acc 0.9081 | Time(s) 0.0187
Epoch 00017 | Loss 0.3126 | Test Acc 0.9095 | Time(s) 0.0187
Epoch 00018 | Loss 0.3070 | Test Acc 0.9097 | Time(s) 0.0187
Epoch 00019 | Loss 0.2948 | Test Acc 0.9097 | Time(s) 0.0187
Epoch 00020 | Loss 0.2812 | Test Acc 0.9122 | Time(s) 0.0188
Epoch 00021 | Loss 0.2723 | Test Acc 0.9138 | Time(s) 0.0188
Epoch 00022 | Loss 0.2664 | Test Acc 0.9160 | Time(s) 0.0188
Epoch 00023 | Loss 0.2597 | Test Acc 0.9187 | Time(s) 0.0188
Epoch 00024 | Loss 0.2548 | Test Acc 0.9171 | Time(s) 0.0188
Epoch 00025 | Loss 0.2510 | Test Acc 0.9174 | Time(s) 0.0189
Epoch 00026 | Loss 0.2453 | Test Acc 0.9163 | Time(s) 0.0189
Epoch 00027 | Loss 0.2396 | Test Acc 0.9187 | Time(s) 0.0206
Epoch 00028 | Loss 0.2375 | Test Acc 0.9201 | Time(s) 0.0214
Epoch 00029 | Loss 0.2331 | Test Acc 0.9206 | Time(s) 0.0214
Epoch 00030 | Loss 0.2278 | Test Acc 0.9217 | Time(s) 0.0214
Epoch 00031 | Loss 0.2230 | Test Acc 0.9206 | Time(s) 0.0213
Epoch 00032 | Loss 0.2203 | Test Acc 0.9220 | Time(s) 0.0212
Epoch 00033 | Loss 0.2156 | Test Acc 0.9215 | Time(s) 0.0211
Epoch 00034 | Loss 0.2112 | Test Acc 0.9226 | Time(s) 0.0210
Epoch 00035 | Loss 0.2074 | Test Acc 0.9239 | Time(s) 0.0209
Epoch 00036 | Loss 0.2033 | Test Acc 0.9231 | Time(s) 0.0208
Epoch 00037 | Loss 0.1996 | Test Acc 0.9234 | Time(s) 0.0207
Epoch 00038 | Loss 0.1960 | Test Acc 0.9242 | Time(s) 0.0206
Epoch 00039 | Loss 0.1921 | Test Acc 0.9256 | Time(s) 0.0206
Epoch 00040 | Loss 0.1888 | Test Acc 0.9277 | Time(s) 0.0205
Epoch 00041 | Loss 0.1854 | Test Acc 0.9286 | Time(s) 0.0204
Epoch 00042 | Loss 0.1817 | Test Acc 0.9275 | Time(s) 0.0204
Epoch 00043 | Loss 0.1780 | Test Acc 0.9266 | Time(s) 0.0205
Epoch 00044 | Loss 0.1742 | Test Acc 0.9264 | Time(s) 0.0205
Epoch 00045 | Loss 0.1706 | Test Acc 0.9275 | Time(s) 0.0205
Epoch 00046 | Loss 0.1668 | Test Acc 0.9275 | Time(s) 0.0205
Epoch 00047 | Loss 0.1634 | Test Acc 0.9275 | Time(s) 0.0206
Epoch 00048 | Loss 0.1600 | Test Acc 0.9256 | Time(s) 0.0207
Epoch 00049 | Loss 0.1564 | Test Acc 0.9266 | Time(s) 0.0207
Epoch 00050 | Loss 0.1530 | Test Acc 0.9275 | Time(s) 0.0208
Epoch 00051 | Loss 0.1496 | Test Acc 0.9272 | Time(s) 0.0209
Epoch 00052 | Loss 0.1463 | Test Acc 0.9296 | Time(s) 0.0208
Epoch 00053 | Loss 0.1437 | Test Acc 0.9264 | Time(s) 0.0208
Epoch 00054 | Loss 0.1430 | Test Acc 0.9250 | Time(s) 0.0208
Epoch 00055 | Loss 0.1519 | Test Acc 0.9111 | Time(s) 0.0208
Epoch 00056 | Loss 0.1891 | Test Acc 0.9122 | Time(s) 0.0207
Epoch 00057 | Loss 0.1801 | Test Acc 0.9204 | Time(s) 0.0207
Epoch 00058 | Loss 0.1647 | Test Acc 0.9141 | Time(s) 0.0207
Epoch 00059 | Loss 0.1781 | Test Acc 0.9236 | Time(s) 0.0207
Epoch 00060 | Loss 0.1477 | Test Acc 0.9239 | Time(s) 0.0206
Epoch 00061 | Loss 0.1505 | Test Acc 0.9234 | Time(s) 0.0206
Epoch 00062 | Loss 0.1478 | Test Acc 0.9231 | Time(s) 0.0206
Epoch 00063 | Loss 0.1376 | Test Acc 0.9228 | Time(s) 0.0206
Epoch 00064 | Loss 0.1399 | Test Acc 0.9245 | Time(s) 0.0206
Epoch 00065 | Loss 0.1370 | Test Acc 0.9264 | Time(s) 0.0207
Epoch 00066 | Loss 0.1268 | Test Acc 0.9242 | Time(s) 0.0207
Epoch 00067 | Loss 0.1351 | Test Acc 0.9269 | Time(s) 0.0207
Epoch 00068 | Loss 0.1240 | Test Acc 0.9256 | Time(s) 0.0207
Epoch 00069 | Loss 0.1215 | Test Acc 0.9247 | Time(s) 0.0207
Epoch 00070 | Loss 0.1242 | Test Acc 0.9269 | Time(s) 0.0207
Epoch 00071 | Loss 0.1162 | Test Acc 0.9269 | Time(s) 0.0207
Epoch 00072 | Loss 0.1146 | Test Acc 0.9253 | Time(s) 0.0207
Epoch 00073 | Loss 0.1155 | Test Acc 0.9272 | Time(s) 0.0206
Epoch 00074 | Loss 0.1075 | Test Acc 0.9245 | Time(s) 0.0206
Epoch 00075 | Loss 0.1078 | Test Acc 0.9239 | Time(s) 0.0206
Epoch 00076 | Loss 0.1062 | Test Acc 0.9283 | Time(s) 0.0205
Epoch 00077 | Loss 0.0995 | Test Acc 0.9280 | Time(s) 0.0205
Epoch 00078 | Loss 0.1013 | Test Acc 0.9272 | Time(s) 0.0205
Epoch 00079 | Loss 0.0969 | Test Acc 0.9266 | Time(s) 0.0205
Epoch 00080 | Loss 0.0942 | Test Acc 0.9256 | Time(s) 0.0204
Epoch 00081 | Loss 0.0936 | Test Acc 0.9264 | Time(s) 0.0204
Epoch 00082 | Loss 0.0894 | Test Acc 0.9266 | Time(s) 0.0204
Epoch 00083 | Loss 0.0890 | Test Acc 0.9264 | Time(s) 0.0203
Epoch 00084 | Loss 0.0856 | Test Acc 0.9239 | Time(s) 0.0203
Epoch 00085 | Loss 0.0839 | Test Acc 0.9256 | Time(s) 0.0203
Epoch 00086 | Loss 0.0817 | Test Acc 0.9245 | Time(s) 0.0203
Epoch 00087 | Loss 0.0803 | Test Acc 0.9226 | Time(s) 0.0202
Epoch 00088 | Loss 0.0790 | Test Acc 0.9204 | Time(s) 0.0202
Epoch 00089 | Loss 0.0826 | Test Acc 0.9152 | Time(s) 0.0202
Epoch 00090 | Loss 0.0920 | Test Acc 0.9106 | Time(s) 0.0202
Epoch 00091 | Loss 0.1226 | Test Acc 0.9106 | Time(s) 0.0201
Epoch 00092 | Loss 0.1293 | Test Acc 0.9264 | Time(s) 0.0201
Epoch 00093 | Loss 0.0848 | Test Acc 0.9152 | Time(s) 0.0201
Epoch 00094 | Loss 0.1021 | Test Acc 0.9206 | Time(s) 0.0201
Epoch 00095 | Loss 0.0852 | Test Acc 0.9209 | Time(s) 0.0201
Epoch 00096 | Loss 0.0953 | Test Acc 0.9250 | Time(s) 0.0200
Epoch 00097 | Loss 0.0789 | Test Acc 0.9163 | Time(s) 0.0200
Epoch 00098 | Loss 0.0888 | Test Acc 0.9198 | Time(s) 0.0200
Epoch 00099 | Loss 0.0758 | Test Acc 0.9201 | Time(s) 0.0200
Best Test Acc 0.9296 at Epoch 00052
