Epoch 00000 | Loss 2.6606 | Test Acc 0.3090 | Time(s) nan
Epoch 00001 | Loss 1.9216 | Test Acc 0.5192 | Time(s) nan
Epoch 00002 | Loss 1.5256 | Test Acc 0.7450 | Time(s) nan
Epoch 00003 | Loss 1.1128 | Test Acc 0.8105 | Time(s) 0.0218
Epoch 00004 | Loss 0.7881 | Test Acc 0.8328 | Time(s) 0.0212
Epoch 00005 | Loss 0.6768 | Test Acc 0.8765 | Time(s) 0.0217
Epoch 00006 | Loss 0.4877 | Test Acc 0.8942 | Time(s) 0.0213
Epoch 00007 | Loss 0.4298 | Test Acc 0.8988 | Time(s) 0.0213
Epoch 00008 | Loss 0.4254 | Test Acc 0.9043 | Time(s) 0.0212
Epoch 00009 | Loss 0.3981 | Test Acc 0.9136 | Time(s) 0.0211
Epoch 00010 | Loss 0.3650 | Test Acc 0.9106 | Time(s) 0.0214
Epoch 00011 | Loss 0.3586 | Test Acc 0.9136 | Time(s) 0.0213
Epoch 00012 | Loss 0.3501 | Test Acc 0.9209 | Time(s) 0.0213
Epoch 00013 | Loss 0.3314 | Test Acc 0.9215 | Time(s) 0.0212
Epoch 00014 | Loss 0.3098 | Test Acc 0.9217 | Time(s) 0.0211
Epoch 00015 | Loss 0.2902 | Test Acc 0.9182 | Time(s) 0.0210
Epoch 00016 | Loss 0.2772 | Test Acc 0.9196 | Time(s) 0.0209
Epoch 00017 | Loss 0.2592 | Test Acc 0.9231 | Time(s) 0.0208
Epoch 00018 | Loss 0.2423 | Test Acc 0.9253 | Time(s) 0.0208
Epoch 00019 | Loss 0.2306 | Test Acc 0.9256 | Time(s) 0.0207
Epoch 00020 | Loss 0.2220 | Test Acc 0.9269 | Time(s) 0.0207
Epoch 00021 | Loss 0.2132 | Test Acc 0.9264 | Time(s) 0.0207
Epoch 00022 | Loss 0.2069 | Test Acc 0.9280 | Time(s) 0.0206
Epoch 00023 | Loss 0.2039 | Test Acc 0.9275 | Time(s) 0.0206
Epoch 00024 | Loss 0.1994 | Test Acc 0.9294 | Time(s) 0.0206
Epoch 00025 | Loss 0.1901 | Test Acc 0.9286 | Time(s) 0.0206
Epoch 00026 | Loss 0.1839 | Test Acc 0.9294 | Time(s) 0.0207
Epoch 00027 | Loss 0.1786 | Test Acc 0.9305 | Time(s) 0.0208
Epoch 00028 | Loss 0.1739 | Test Acc 0.9316 | Time(s) 0.0211
Epoch 00029 | Loss 0.1685 | Test Acc 0.9326 | Time(s) 0.0211
Epoch 00030 | Loss 0.1635 | Test Acc 0.9310 | Time(s) 0.0211
Epoch 00031 | Loss 0.1596 | Test Acc 0.9324 | Time(s) 0.0211
Epoch 00032 | Loss 0.1544 | Test Acc 0.9337 | Time(s) 0.0211
Epoch 00033 | Loss 0.1500 | Test Acc 0.9337 | Time(s) 0.0210
Epoch 00034 | Loss 0.1458 | Test Acc 0.9348 | Time(s) 0.0210
Epoch 00035 | Loss 0.1406 | Test Acc 0.9332 | Time(s) 0.0210
Epoch 00036 | Loss 0.1358 | Test Acc 0.9326 | Time(s) 0.0210
Epoch 00037 | Loss 0.1320 | Test Acc 0.9324 | Time(s) 0.0209
Epoch 00038 | Loss 0.1280 | Test Acc 0.9329 | Time(s) 0.0209
Epoch 00039 | Loss 0.1238 | Test Acc 0.9329 | Time(s) 0.0209
Epoch 00040 | Loss 0.1194 | Test Acc 0.9332 | Time(s) 0.0209
Epoch 00041 | Loss 0.1161 | Test Acc 0.9329 | Time(s) 0.0208
Epoch 00042 | Loss 0.1125 | Test Acc 0.9324 | Time(s) 0.0208
Epoch 00043 | Loss 0.1085 | Test Acc 0.9332 | Time(s) 0.0208
Epoch 00044 | Loss 0.1054 | Test Acc 0.9321 | Time(s) 0.0209
Epoch 00045 | Loss 0.1018 | Test Acc 0.9324 | Time(s) 0.0209
Epoch 00046 | Loss 0.0981 | Test Acc 0.9324 | Time(s) 0.0209
Epoch 00047 | Loss 0.0948 | Test Acc 0.9318 | Time(s) 0.0209
Epoch 00048 | Loss 0.0915 | Test Acc 0.9335 | Time(s) 0.0209
Epoch 00049 | Loss 0.0881 | Test Acc 0.9329 | Time(s) 0.0210
Epoch 00050 | Loss 0.0851 | Test Acc 0.9329 | Time(s) 0.0210
Epoch 00051 | Loss 0.0821 | Test Acc 0.9340 | Time(s) 0.0210
Epoch 00052 | Loss 0.0790 | Test Acc 0.9332 | Time(s) 0.0210
Epoch 00053 | Loss 0.0759 | Test Acc 0.9324 | Time(s) 0.0210
Epoch 00054 | Loss 0.0729 | Test Acc 0.9316 | Time(s) 0.0210
Epoch 00055 | Loss 0.0702 | Test Acc 0.9332 | Time(s) 0.0210
Epoch 00056 | Loss 0.0676 | Test Acc 0.9329 | Time(s) 0.0210
Epoch 00057 | Loss 0.0652 | Test Acc 0.9335 | Time(s) 0.0210
Epoch 00058 | Loss 0.0631 | Test Acc 0.9337 | Time(s) 0.0210
Epoch 00059 | Loss 0.0615 | Test Acc 0.9321 | Time(s) 0.0210
Epoch 00060 | Loss 0.0628 | Test Acc 0.9310 | Time(s) 0.0211
Epoch 00061 | Loss 0.0639 | Test Acc 0.9302 | Time(s) 0.0212
Epoch 00062 | Loss 0.0644 | Test Acc 0.9332 | Time(s) 0.0212
Epoch 00063 | Loss 0.0533 | Test Acc 0.9329 | Time(s) 0.0213
Epoch 00064 | Loss 0.0525 | Test Acc 0.9321 | Time(s) 0.0213
Epoch 00065 | Loss 0.0565 | Test Acc 0.9326 | Time(s) 0.0213
Epoch 00066 | Loss 0.0489 | Test Acc 0.9326 | Time(s) 0.0213
Epoch 00067 | Loss 0.0489 | Test Acc 0.9305 | Time(s) 0.0213
Epoch 00068 | Loss 0.0490 | Test Acc 0.9318 | Time(s) 0.0213
Epoch 00069 | Loss 0.0439 | Test Acc 0.9310 | Time(s) 0.0213
Epoch 00070 | Loss 0.0438 | Test Acc 0.9329 | Time(s) 0.0213
Epoch 00071 | Loss 0.0411 | Test Acc 0.9335 | Time(s) 0.0212
Epoch 00072 | Loss 0.0376 | Test Acc 0.9296 | Time(s) 0.0212
Epoch 00073 | Loss 0.0381 | Test Acc 0.9340 | Time(s) 0.0212
Epoch 00074 | Loss 0.0339 | Test Acc 0.9337 | Time(s) 0.0212
Epoch 00075 | Loss 0.0349 | Test Acc 0.9307 | Time(s) 0.0212
Epoch 00076 | Loss 0.0311 | Test Acc 0.9283 | Time(s) 0.0212
Epoch 00077 | Loss 0.0317 | Test Acc 0.9326 | Time(s) 0.0212
Epoch 00078 | Loss 0.0290 | Test Acc 0.9310 | Time(s) 0.0212
Epoch 00079 | Loss 0.0282 | Test Acc 0.9288 | Time(s) 0.0211
Epoch 00080 | Loss 0.0269 | Test Acc 0.9288 | Time(s) 0.0211
