Epoch 00000 | Loss 2.7139 | Test Acc 0.4194 | Time(s) nan
Epoch 00001 | Loss 1.9332 | Test Acc 0.4093 | Time(s) nan
Epoch 00002 | Loss 1.6410 | Test Acc 0.6548 | Time(s) nan
Epoch 00003 | Loss 1.2822 | Test Acc 0.8039 | Time(s) 0.0207
Epoch 00004 | Loss 0.9387 | Test Acc 0.7952 | Time(s) 0.0200
Epoch 00005 | Loss 0.8155 | Test Acc 0.8402 | Time(s) 0.0196
Epoch 00006 | Loss 0.6326 | Test Acc 0.8786 | Time(s) 0.0195
Epoch 00007 | Loss 0.5019 | Test Acc 0.8789 | Time(s) 0.0194
Epoch 00008 | Loss 0.4862 | Test Acc 0.8915 | Time(s) 0.0193
Epoch 00009 | Loss 0.4504 | Test Acc 0.9040 | Time(s) 0.0192
Epoch 00010 | Loss 0.3927 | Test Acc 0.9073 | Time(s) 0.0192
Epoch 00011 | Loss 0.3881 | Test Acc 0.9073 | Time(s) 0.0192
Epoch 00012 | Loss 0.3693 | Test Acc 0.9133 | Time(s) 0.0191
Epoch 00013 | Loss 0.3407 | Test Acc 0.9185 | Time(s) 0.0191
Epoch 00014 | Loss 0.3230 | Test Acc 0.9130 | Time(s) 0.0190
Epoch 00015 | Loss 0.3102 | Test Acc 0.9157 | Time(s) 0.0190
Epoch 00016 | Loss 0.2895 | Test Acc 0.9187 | Time(s) 0.0190
Epoch 00017 | Loss 0.2761 | Test Acc 0.9176 | Time(s) 0.0190
Epoch 00018 | Loss 0.2672 | Test Acc 0.9176 | Time(s) 0.0190
Epoch 00019 | Loss 0.2516 | Test Acc 0.9171 | Time(s) 0.0190
Epoch 00020 | Loss 0.2425 | Test Acc 0.9185 | Time(s) 0.0190
Epoch 00021 | Loss 0.2384 | Test Acc 0.9185 | Time(s) 0.0190
Epoch 00022 | Loss 0.2289 | Test Acc 0.9231 | Time(s) 0.0190
Epoch 00023 | Loss 0.2190 | Test Acc 0.9239 | Time(s) 0.0190
Epoch 00024 | Loss 0.2122 | Test Acc 0.9245 | Time(s) 0.0190
Epoch 00025 | Loss 0.2071 | Test Acc 0.9269 | Time(s) 0.0190
Epoch 00026 | Loss 0.2003 | Test Acc 0.9266 | Time(s) 0.0190
Epoch 00027 | Loss 0.1949 | Test Acc 0.9269 | Time(s) 0.0190
Epoch 00028 | Loss 0.1910 | Test Acc 0.9283 | Time(s) 0.0190
Epoch 00029 | Loss 0.1878 | Test Acc 0.9305 | Time(s) 0.0190
Epoch 00030 | Loss 0.1833 | Test Acc 0.9288 | Time(s) 0.0190
Epoch 00031 | Loss 0.1779 | Test Acc 0.9313 | Time(s) 0.0190
Epoch 00032 | Loss 0.1748 | Test Acc 0.9305 | Time(s) 0.0190
Epoch 00033 | Loss 0.1710 | Test Acc 0.9316 | Time(s) 0.0190
Epoch 00034 | Loss 0.1659 | Test Acc 0.9318 | Time(s) 0.0190
Epoch 00035 | Loss 0.1614 | Test Acc 0.9316 | Time(s) 0.0190
Epoch 00036 | Loss 0.1578 | Test Acc 0.9318 | Time(s) 0.0190
Epoch 00037 | Loss 0.1537 | Test Acc 0.9335 | Time(s) 0.0190
Epoch 00038 | Loss 0.1493 | Test Acc 0.9326 | Time(s) 0.0190
Epoch 00039 | Loss 0.1455 | Test Acc 0.9329 | Time(s) 0.0190
Epoch 00040 | Loss 0.1421 | Test Acc 0.9316 | Time(s) 0.0190
Epoch 00041 | Loss 0.1384 | Test Acc 0.9332 | Time(s) 0.0190
Epoch 00042 | Loss 0.1345 | Test Acc 0.9335 | Time(s) 0.0190
Epoch 00043 | Loss 0.1309 | Test Acc 0.9321 | Time(s) 0.0190
Epoch 00044 | Loss 0.1274 | Test Acc 0.9329 | Time(s) 0.0190
Epoch 00045 | Loss 0.1235 | Test Acc 0.9346 | Time(s) 0.0190
Epoch 00046 | Loss 0.1202 | Test Acc 0.9356 | Time(s) 0.0190
Epoch 00047 | Loss 0.1167 | Test Acc 0.9356 | Time(s) 0.0190
Epoch 00048 | Loss 0.1132 | Test Acc 0.9351 | Time(s) 0.0190
Epoch 00049 | Loss 0.1098 | Test Acc 0.9356 | Time(s) 0.0190
Epoch 00050 | Loss 0.1064 | Test Acc 0.9335 | Time(s) 0.0190
Epoch 00051 | Loss 0.1034 | Test Acc 0.9326 | Time(s) 0.0190
Epoch 00052 | Loss 0.1000 | Test Acc 0.9326 | Time(s) 0.0191
Epoch 00053 | Loss 0.0969 | Test Acc 0.9329 | Time(s) 0.0191
Epoch 00054 | Loss 0.0939 | Test Acc 0.9318 | Time(s) 0.0191
Epoch 00055 | Loss 0.0908 | Test Acc 0.9316 | Time(s) 0.0191
Epoch 00056 | Loss 0.0877 | Test Acc 0.9337 | Time(s) 0.0191
Epoch 00057 | Loss 0.0848 | Test Acc 0.9329 | Time(s) 0.0191
Epoch 00058 | Loss 0.0820 | Test Acc 0.9351 | Time(s) 0.0191
Epoch 00059 | Loss 0.0802 | Test Acc 0.9326 | Time(s) 0.0191
Epoch 00060 | Loss 0.0805 | Test Acc 0.9307 | Time(s) 0.0191
Epoch 00061 | Loss 0.0812 | Test Acc 0.9294 | Time(s) 0.0191
Epoch 00062 | Loss 0.0766 | Test Acc 0.9340 | Time(s) 0.0191
Epoch 00063 | Loss 0.0691 | Test Acc 0.9326 | Time(s) 0.0191
Epoch 00064 | Loss 0.0705 | Test Acc 0.9307 | Time(s) 0.0191
Epoch 00065 | Loss 0.0674 | Test Acc 0.9324 | Time(s) 0.0191
Epoch 00066 | Loss 0.0622 | Test Acc 0.9335 | Time(s) 0.0191
Epoch 00067 | Loss 0.0628 | Test Acc 0.9305 | Time(s) 0.0191
Epoch 00068 | Loss 0.0590 | Test Acc 0.9302 | Time(s) 0.0191
Epoch 00069 | Loss 0.0560 | Test Acc 0.9316 | Time(s) 0.0191
Epoch 00070 | Loss 0.0556 | Test Acc 0.9275 | Time(s) 0.0191
Epoch 00071 | Loss 0.0536 | Test Acc 0.9310 | Time(s) 0.0191
Epoch 00072 | Loss 0.0502 | Test Acc 0.9305 | Time(s) 0.0191
Epoch 00073 | Loss 0.0497 | Test Acc 0.9288 | Time(s) 0.0191
Epoch 00074 | Loss 0.0490 | Test Acc 0.9302 | Time(s) 0.0191
Epoch 00075 | Loss 0.0450 | Test Acc 0.9310 | Time(s) 0.0191
Epoch 00076 | Loss 0.0424 | Test Acc 0.9299 | Time(s) 0.0190
Epoch 00077 | Loss 0.0421 | Test Acc 0.9313 | Time(s) 0.0190
Epoch 00078 | Loss 0.0420 | Test Acc 0.9305 | Time(s) 0.0190
Epoch 00079 | Loss 0.0404 | Test Acc 0.9291 | Time(s) 0.0190
Epoch 00080 | Loss 0.0383 | Test Acc 0.9299 | Time(s) 0.0190
Epoch 00081 | Loss 0.0355 | Test Acc 0.9307 | Time(s) 0.0190
Epoch 00082 | Loss 0.0334 | Test Acc 0.9302 | Time(s) 0.0191
Epoch 00083 | Loss 0.0334 | Test Acc 0.9296 | Time(s) 0.0192
Epoch 00084 | Loss 0.0323 | Test Acc 0.9296 | Time(s) 0.0193
Epoch 00085 | Loss 0.0301 | Test Acc 0.9296 | Time(s) 0.0193
Epoch 00086 | Loss 0.0292 | Test Acc 0.9288 | Time(s) 0.0194
Epoch 00087 | Loss 0.0292 | Test Acc 0.9296 | Time(s) 0.0195
Epoch 00088 | Loss 0.0287 | Test Acc 0.9296 | Time(s) 0.0195
Epoch 00089 | Loss 0.0288 | Test Acc 0.9275 | Time(s) 0.0196
Epoch 00090 | Loss 0.0282 | Test Acc 0.9296 | Time(s) 0.0196
Epoch 00091 | Loss 0.0278 | Test Acc 0.9302 | Time(s) 0.0196
Epoch 00092 | Loss 0.0266 | Test Acc 0.9296 | Time(s) 0.0197
Epoch 00093 | Loss 0.0241 | Test Acc 0.9288 | Time(s) 0.0197
Epoch 00094 | Loss 0.0221 | Test Acc 0.9302 | Time(s) 0.0197
Epoch 00095 | Loss 0.0222 | Test Acc 0.9302 | Time(s) 0.0197
Epoch 00096 | Loss 0.0205 | Test Acc 0.9277 | Time(s) 0.0198
Epoch 00097 | Loss 0.0201 | Test Acc 0.9296 | Time(s) 0.0198
Epoch 00098 | Loss 0.0197 | Test Acc 0.9294 | Time(s) 0.0198
Epoch 00099 | Loss 0.0179 | Test Acc 0.9288 | Time(s) 0.0198
Best Test Acc 0.9356 at Epoch 00046
