Epoch 00000 | Loss 4.2505 | Test Acc 0.0424 | Time(s) nan
Epoch 00001 | Loss 4.1629 | Test Acc 0.0424 | Time(s) nan
Epoch 00002 | Loss 4.0962 | Test Acc 0.0525 | Time(s) nan
Epoch 00003 | Loss 3.9705 | Test Acc 0.0791 | Time(s) 0.0263
Epoch 00004 | Loss 3.9565 | Test Acc 0.0763 | Time(s) 0.0261
Epoch 00005 | Loss 3.8748 | Test Acc 0.0844 | Time(s) 0.0259
Epoch 00006 | Loss 3.7812 | Test Acc 0.0864 | Time(s) 0.0260
Epoch 00007 | Loss 3.6186 | Test Acc 0.0950 | Time(s) 0.0261
Epoch 00008 | Loss 3.4638 | Test Acc 0.1384 | Time(s) 0.0267
Epoch 00009 | Loss 3.3103 | Test Acc 0.1420 | Time(s) 0.0276
Epoch 00010 | Loss 3.1685 | Test Acc 0.2177 | Time(s) 0.0277
Epoch 00011 | Loss 2.9877 | Test Acc 0.2554 | Time(s) 0.0277
Epoch 00012 | Loss 2.8090 | Test Acc 0.3021 | Time(s) 0.0277
Epoch 00013 | Loss 2.6101 | Test Acc 0.3092 | Time(s) 0.0277
Epoch 00014 | Loss 2.4314 | Test Acc 0.3531 | Time(s) 0.0277
Epoch 00015 | Loss 2.2635 | Test Acc 0.3440 | Time(s) 0.0277
Epoch 00016 | Loss 2.1782 | Test Acc 0.3809 | Time(s) 0.0279
Epoch 00017 | Loss 2.2301 | Test Acc 0.4430 | Time(s) 0.0277
Epoch 00018 | Loss 1.9748 | Test Acc 0.4062 | Time(s) 0.0276
Epoch 00019 | Loss 1.9703 | Test Acc 0.4675 | Time(s) 0.0275
Epoch 00020 | Loss 1.8129 | Test Acc 0.4814 | Time(s) 0.0274
Epoch 00021 | Loss 1.8004 | Test Acc 0.5062 | Time(s) 0.0273
Epoch 00022 | Loss 1.6455 | Test Acc 0.5049 | Time(s) 0.0272
Epoch 00023 | Loss 1.5911 | Test Acc 0.5198 | Time(s) 0.0272
Epoch 00024 | Loss 1.5257 | Test Acc 0.5279 | Time(s) 0.0273
Epoch 00025 | Loss 1.4572 | Test Acc 0.5421 | Time(s) 0.0274
Epoch 00026 | Loss 1.4118 | Test Acc 0.5580 | Time(s) 0.0274
Epoch 00027 | Loss 1.3263 | Test Acc 0.5623 | Time(s) 0.0274
Epoch 00028 | Loss 1.2783 | Test Acc 0.5739 | Time(s) 0.0273
Epoch 00029 | Loss 1.2269 | Test Acc 0.5789 | Time(s) 0.0273
Epoch 00030 | Loss 1.1820 | Test Acc 0.5873 | Time(s) 0.0272
Epoch 00031 | Loss 1.1449 | Test Acc 0.5974 | Time(s) 0.0272
Epoch 00032 | Loss 1.0829 | Test Acc 0.5956 | Time(s) 0.0271
Epoch 00033 | Loss 1.0518 | Test Acc 0.6044 | Time(s) 0.0271
Epoch 00034 | Loss 1.0136 | Test Acc 0.6135 | Time(s) 0.0271
Epoch 00035 | Loss 0.9863 | Test Acc 0.6196 | Time(s) 0.0271
Epoch 00036 | Loss 0.9504 | Test Acc 0.6156 | Time(s) 0.0271
Epoch 00037 | Loss 0.9170 | Test Acc 0.6138 | Time(s) 0.0270
Epoch 00038 | Loss 0.8878 | Test Acc 0.6201 | Time(s) 0.0270
Epoch 00039 | Loss 0.8676 | Test Acc 0.6193 | Time(s) 0.0270
Epoch 00040 | Loss 0.8509 | Test Acc 0.6143 | Time(s) 0.0269
Epoch 00041 | Loss 0.8344 | Test Acc 0.6173 | Time(s) 0.0269
Epoch 00042 | Loss 0.8228 | Test Acc 0.6216 | Time(s) 0.0269
Epoch 00043 | Loss 0.8017 | Test Acc 0.6287 | Time(s) 0.0269
Epoch 00044 | Loss 0.7599 | Test Acc 0.6292 | Time(s) 0.0268
Epoch 00045 | Loss 0.7389 | Test Acc 0.6320 | Time(s) 0.0268
Epoch 00046 | Loss 0.7321 | Test Acc 0.6337 | Time(s) 0.0268
Epoch 00047 | Loss 0.7034 | Test Acc 0.6274 | Time(s) 0.0268
Epoch 00048 | Loss 0.6836 | Test Acc 0.6335 | Time(s) 0.0268
Epoch 00049 | Loss 0.6748 | Test Acc 0.6241 | Time(s) 0.0268
Epoch 00050 | Loss 0.6530 | Test Acc 0.6264 | Time(s) 0.0267
Epoch 00051 | Loss 0.6296 | Test Acc 0.6277 | Time(s) 0.0267
Epoch 00052 | Loss 0.6238 | Test Acc 0.6249 | Time(s) 0.0267
Epoch 00053 | Loss 0.6104 | Test Acc 0.6292 | Time(s) 0.0267
Epoch 00054 | Loss 0.5980 | Test Acc 0.6226 | Time(s) 0.0267
Epoch 00055 | Loss 0.6039 | Test Acc 0.6057 | Time(s) 0.0267
Epoch 00056 | Loss 0.6396 | Test Acc 0.6097 | Time(s) 0.0266
Epoch 00057 | Loss 0.6632 | Test Acc 0.6108 | Time(s) 0.0266
Epoch 00058 | Loss 0.5954 | Test Acc 0.6267 | Time(s) 0.0266
Epoch 00059 | Loss 0.5652 | Test Acc 0.6196 | Time(s) 0.0266
Epoch 00060 | Loss 0.5895 | Test Acc 0.6322 | Time(s) 0.0266
Epoch 00061 | Loss 0.5283 | Test Acc 0.6206 | Time(s) 0.0266
Epoch 00062 | Loss 0.5506 | Test Acc 0.6295 | Time(s) 0.0266
Epoch 00063 | Loss 0.5093 | Test Acc 0.6279 | Time(s) 0.0266
Epoch 00064 | Loss 0.5282 | Test Acc 0.6289 | Time(s) 0.0266
Epoch 00065 | Loss 0.4905 | Test Acc 0.6277 | Time(s) 0.0265
Epoch 00066 | Loss 0.4968 | Test Acc 0.6320 | Time(s) 0.0265
Epoch 00067 | Loss 0.4753 | Test Acc 0.6252 | Time(s) 0.0265
Epoch 00068 | Loss 0.4728 | Test Acc 0.6274 | Time(s) 0.0265
Epoch 00069 | Loss 0.4572 | Test Acc 0.6244 | Time(s) 0.0265
Epoch 00070 | Loss 0.4509 | Test Acc 0.6249 | Time(s) 0.0265
Epoch 00071 | Loss 0.4382 | Test Acc 0.6272 | Time(s) 0.0265
Epoch 00072 | Loss 0.4289 | Test Acc 0.6183 | Time(s) 0.0265
Epoch 00073 | Loss 0.4281 | Test Acc 0.6241 | Time(s) 0.0265
Epoch 00074 | Loss 0.4189 | Test Acc 0.6145 | Time(s) 0.0265
Epoch 00075 | Loss 0.4266 | Test Acc 0.6110 | Time(s) 0.0264
Epoch 00076 | Loss 0.4339 | Test Acc 0.5936 | Time(s) 0.0264
Epoch 00077 | Loss 0.4865 | Test Acc 0.6105 | Time(s) 0.0264
Epoch 00078 | Loss 0.5128 | Test Acc 0.6085 | Time(s) 0.0264
Epoch 00079 | Loss 0.4413 | Test Acc 0.6002 | Time(s) 0.0264
Epoch 00080 | Loss 0.4080 | Test Acc 0.6108 | Time(s) 0.0264
Epoch 00081 | Loss 0.4419 | Test Acc 0.6196 | Time(s) 0.0264
Epoch 00082 | Loss 0.3832 | Test Acc 0.6090 | Time(s) 0.0264
