Epoch 00000 | Loss 1.9466 | Test Acc 0.1530 | Time(s) nan
Epoch 00001 | Loss 1.9378 | Test Acc 0.1540 | Time(s) nan
Epoch 00002 | Loss 1.9120 | Test Acc 0.1660 | Time(s) nan
Epoch 00003 | Loss 1.8571 | Test Acc 0.3540 | Time(s) 0.0111
Epoch 00004 | Loss 1.7618 | Test Acc 0.3740 | Time(s) 0.0111
Epoch 00005 | Loss 1.6178 | Test Acc 0.4250 | Time(s) 0.0111
Epoch 00006 | Loss 1.4238 | Test Acc 0.5720 | Time(s) 0.0108
Epoch 00007 | Loss 1.1870 | Test Acc 0.6220 | Time(s) 0.0105
Epoch 00008 | Loss 0.9270 | Test Acc 0.7180 | Time(s) 0.0103
Epoch 00009 | Loss 0.6836 | Test Acc 0.7580 | Time(s) 0.0102
Epoch 00010 | Loss 0.4789 | Test Acc 0.6630 | Time(s) 0.0101
Epoch 00011 | Loss 0.3422 | Test Acc 0.7580 | Time(s) 0.0100
Epoch 00012 | Loss 0.2311 | Test Acc 0.7660 | Time(s) 0.0101
Epoch 00013 | Loss 0.1582 | Test Acc 0.7130 | Time(s) 0.0100
Epoch 00014 | Loss 0.1121 | Test Acc 0.7450 | Time(s) 0.0100
Epoch 00015 | Loss 0.0681 | Test Acc 0.7740 | Time(s) 0.0099
Epoch 00016 | Loss 0.0483 | Test Acc 0.7580 | Time(s) 0.0099
Epoch 00017 | Loss 0.0260 | Test Acc 0.7290 | Time(s) 0.0098
Epoch 00018 | Loss 0.0180 | Test Acc 0.7420 | Time(s) 0.0098
Epoch 00019 | Loss 0.0105 | Test Acc 0.7660 | Time(s) 0.0098
Epoch 00020 | Loss 0.0058 | Test Acc 0.7770 | Time(s) 0.0098
Epoch 00021 | Loss 0.0045 | Test Acc 0.7790 | Time(s) 0.0097
Epoch 00022 | Loss 0.0031 | Test Acc 0.7710 | Time(s) 0.0097
Epoch 00023 | Loss 0.0018 | Test Acc 0.7680 | Time(s) 0.0097
Epoch 00024 | Loss 0.0011 | Test Acc 0.7620 | Time(s) 0.0097
Epoch 00025 | Loss 0.0008 | Test Acc 0.7520 | Time(s) 0.0097
Epoch 00026 | Loss 0.0005 | Test Acc 0.7510 | Time(s) 0.0097
Epoch 00027 | Loss 0.0004 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00028 | Loss 0.0003 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00029 | Loss 0.0002 | Test Acc 0.7490 | Time(s) 0.0097
Epoch 00030 | Loss 0.0002 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00031 | Loss 0.0001 | Test Acc 0.7490 | Time(s) 0.0097
Epoch 00032 | Loss 0.0001 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00033 | Loss 0.0001 | Test Acc 0.7460 | Time(s) 0.0097
Epoch 00034 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00035 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00036 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00037 | Loss 0.0000 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00038 | Loss 0.0000 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00039 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00040 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00041 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00042 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0097
Epoch 00043 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0099
Epoch 00044 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0100
Epoch 00045 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00046 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00047 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00048 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00049 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00050 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00051 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00052 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00053 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0101
Epoch 00054 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00055 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00056 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00057 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00058 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00059 | Loss 0.0000 | Test Acc 0.7440 | Time(s) 0.0101
Epoch 00060 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0100
Epoch 00061 | Loss 0.0000 | Test Acc 0.7450 | Time(s) 0.0100
Epoch 00062 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00063 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00064 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00065 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00066 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00067 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00068 | Loss 0.0000 | Test Acc 0.7480 | Time(s) 0.0100
Epoch 00069 | Loss 0.0000 | Test Acc 0.7480 | Time(s) 0.0100
Epoch 00070 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00071 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00072 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00073 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00074 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00075 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00076 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00077 | Loss 0.0000 | Test Acc 0.7470 | Time(s) 0.0100
Epoch 00078 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00079 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00080 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00081 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00082 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00083 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00084 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00085 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00086 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00087 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00088 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00089 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00090 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0100
Epoch 00091 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00092 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00093 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00094 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00095 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00096 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00097 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00098 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
Epoch 00099 | Loss 0.0000 | Test Acc 0.7460 | Time(s) 0.0099
