Epoch 00000 | Loss 1.9468 | Test Acc 0.1300 | Time(s) nan
Epoch 00001 | Loss 1.9401 | Test Acc 0.1580 | Time(s) nan
Epoch 00002 | Loss 1.9194 | Test Acc 0.2050 | Time(s) nan
Epoch 00003 | Loss 1.8742 | Test Acc 0.2950 | Time(s) 0.0098
Epoch 00004 | Loss 1.7940 | Test Acc 0.4400 | Time(s) 0.0098
Epoch 00005 | Loss 1.6724 | Test Acc 0.4450 | Time(s) 0.0098
Epoch 00006 | Loss 1.4945 | Test Acc 0.5550 | Time(s) 0.0098
Epoch 00007 | Loss 1.2650 | Test Acc 0.6110 | Time(s) 0.0098
Epoch 00008 | Loss 1.0001 | Test Acc 0.6670 | Time(s) 0.0098
Epoch 00009 | Loss 0.7364 | Test Acc 0.7840 | Time(s) 0.0098
Epoch 00010 | Loss 0.5119 | Test Acc 0.8040 | Time(s) 0.0098
Epoch 00011 | Loss 0.3514 | Test Acc 0.7530 | Time(s) 0.0098
Epoch 00012 | Loss 0.2408 | Test Acc 0.8080 | Time(s) 0.0098
Epoch 00013 | Loss 0.1601 | Test Acc 0.7950 | Time(s) 0.0098
Epoch 00014 | Loss 0.0999 | Test Acc 0.7590 | Time(s) 0.0098
Epoch 00015 | Loss 0.0639 | Test Acc 0.7940 | Time(s) 0.0098
Epoch 00016 | Loss 0.0339 | Test Acc 0.7930 | Time(s) 0.0101
Epoch 00017 | Loss 0.0216 | Test Acc 0.7870 | Time(s) 0.0105
Epoch 00018 | Loss 0.0104 | Test Acc 0.7680 | Time(s) 0.0104
Epoch 00019 | Loss 0.0053 | Test Acc 0.7550 | Time(s) 0.0104
Epoch 00020 | Loss 0.0034 | Test Acc 0.7460 | Time(s) 0.0103
Epoch 00021 | Loss 0.0020 | Test Acc 0.7470 | Time(s) 0.0103
Epoch 00022 | Loss 0.0012 | Test Acc 0.7530 | Time(s) 0.0103
Epoch 00023 | Loss 0.0010 | Test Acc 0.7540 | Time(s) 0.0103
Epoch 00024 | Loss 0.0012 | Test Acc 0.7590 | Time(s) 0.0103
Epoch 00025 | Loss 0.0007 | Test Acc 0.7620 | Time(s) 0.0103
Epoch 00026 | Loss 0.0004 | Test Acc 0.7640 | Time(s) 0.0103
Epoch 00027 | Loss 0.0002 | Test Acc 0.7660 | Time(s) 0.0103
Epoch 00028 | Loss 0.0002 | Test Acc 0.7660 | Time(s) 0.0102
Epoch 00029 | Loss 0.0001 | Test Acc 0.7660 | Time(s) 0.0102
Epoch 00030 | Loss 0.0001 | Test Acc 0.7600 | Time(s) 0.0102
Epoch 00031 | Loss 0.0001 | Test Acc 0.7610 | Time(s) 0.0102
