Epoch 00000 | Loss 4.2510 | Test Acc 0.0493 | Time(s) nan
Epoch 00001 | Loss 4.1457 | Test Acc 0.0424 | Time(s) nan
Epoch 00002 | Loss 4.0685 | Test Acc 0.0402 | Time(s) nan
Epoch 00003 | Loss 3.9419 | Test Acc 0.0664 | Time(s) 0.0259
Epoch 00004 | Loss 3.9112 | Test Acc 0.0866 | Time(s) 0.0261
Epoch 00005 | Loss 3.7858 | Test Acc 0.0839 | Time(s) 0.0260
Epoch 00006 | Loss 3.6526 | Test Acc 0.0826 | Time(s) 0.0259
Epoch 00007 | Loss 3.4598 | Test Acc 0.1273 | Time(s) 0.0259
Epoch 00008 | Loss 3.2695 | Test Acc 0.2122 | Time(s) 0.0259
Epoch 00009 | Loss 3.0714 | Test Acc 0.3251 | Time(s) 0.0259
Epoch 00010 | Loss 2.8291 | Test Acc 0.2953 | Time(s) 0.0259
Epoch 00011 | Loss 2.6256 | Test Acc 0.3892 | Time(s) 0.0259
Epoch 00012 | Loss 2.3863 | Test Acc 0.4016 | Time(s) 0.0259
Epoch 00013 | Loss 2.1978 | Test Acc 0.4466 | Time(s) 0.0259
Epoch 00014 | Loss 2.0015 | Test Acc 0.4814 | Time(s) 0.0260
Epoch 00015 | Loss 1.8681 | Test Acc 0.4923 | Time(s) 0.0259
Epoch 00016 | Loss 1.7696 | Test Acc 0.4132 | Time(s) 0.0259
Epoch 00017 | Loss 1.8856 | Test Acc 0.4483 | Time(s) 0.0259
Epoch 00018 | Loss 1.7688 | Test Acc 0.5140 | Time(s) 0.0259
Epoch 00019 | Loss 1.5765 | Test Acc 0.5307 | Time(s) 0.0259
Epoch 00020 | Loss 1.5409 | Test Acc 0.5340 | Time(s) 0.0259
Epoch 00021 | Loss 1.4913 | Test Acc 0.5469 | Time(s) 0.0259
Epoch 00022 | Loss 1.3882 | Test Acc 0.5613 | Time(s) 0.0259
Epoch 00023 | Loss 1.3503 | Test Acc 0.5714 | Time(s) 0.0259
Epoch 00024 | Loss 1.2674 | Test Acc 0.5754 | Time(s) 0.0259
Epoch 00025 | Loss 1.2398 | Test Acc 0.5751 | Time(s) 0.0259
Epoch 00026 | Loss 1.1985 | Test Acc 0.5903 | Time(s) 0.0259
Epoch 00027 | Loss 1.1345 | Test Acc 0.6034 | Time(s) 0.0259
