Epoch 00000 | Loss 1.9477 | Test Acc 0.3180 | Time(s) nan
Epoch 00001 | Loss 1.9430 | Test Acc 0.0940 | Time(s) nan
Epoch 00002 | Loss 1.9285 | Test Acc 0.2090 | Time(s) nan
Epoch 00003 | Loss 1.8984 | Test Acc 0.2310 | Time(s) 0.0101
Epoch 00004 | Loss 1.8451 | Test Acc 0.2970 | Time(s) 0.0102
Epoch 00005 | Loss 1.7583 | Test Acc 0.3550 | Time(s) 0.0102
Epoch 00006 | Loss 1.6269 | Test Acc 0.4290 | Time(s) 0.0103
Epoch 00007 | Loss 1.4435 | Test Acc 0.5810 | Time(s) 0.0103
Epoch 00008 | Loss 1.2164 | Test Acc 0.6210 | Time(s) 0.0103
Epoch 00009 | Loss 0.9641 | Test Acc 0.6890 | Time(s) 0.0103
Epoch 00010 | Loss 0.7222 | Test Acc 0.7330 | Time(s) 0.0102
Epoch 00011 | Loss 0.5060 | Test Acc 0.7800 | Time(s) 0.0100
Epoch 00012 | Loss 0.3206 | Test Acc 0.7770 | Time(s) 0.0099
Epoch 00013 | Loss 0.2076 | Test Acc 0.7730 | Time(s) 0.0101
Epoch 00014 | Loss 0.1302 | Test Acc 0.7720 | Time(s) 0.0100
Epoch 00015 | Loss 0.0758 | Test Acc 0.7630 | Time(s) 0.0099
Epoch 00016 | Loss 0.0458 | Test Acc 0.7570 | Time(s) 0.0099
Epoch 00017 | Loss 0.0276 | Test Acc 0.7610 | Time(s) 0.0098
Epoch 00018 | Loss 0.0158 | Test Acc 0.7600 | Time(s) 0.0098
Epoch 00019 | Loss 0.0107 | Test Acc 0.7550 | Time(s) 0.0097
Epoch 00020 | Loss 0.0056 | Test Acc 0.7480 | Time(s) 0.0097
Epoch 00021 | Loss 0.0034 | Test Acc 0.7430 | Time(s) 0.0097
Epoch 00022 | Loss 0.0027 | Test Acc 0.7400 | Time(s) 0.0096
Epoch 00023 | Loss 0.0014 | Test Acc 0.7350 | Time(s) 0.0096
Epoch 00024 | Loss 0.0017 | Test Acc 0.7340 | Time(s) 0.0096
Epoch 00025 | Loss 0.0008 | Test Acc 0.7300 | Time(s) 0.0096
Epoch 00026 | Loss 0.0008 | Test Acc 0.7270 | Time(s) 0.0095
Epoch 00027 | Loss 0.0006 | Test Acc 0.7250 | Time(s) 0.0096
Epoch 00028 | Loss 0.0002 | Test Acc 0.7250 | Time(s) 0.0105
Epoch 00029 | Loss 0.0002 | Test Acc 0.7220 | Time(s) 0.0113
Epoch 00030 | Loss 0.0002 | Test Acc 0.7220 | Time(s) 0.0120
Epoch 00031 | Loss 0.0001 | Test Acc 0.7190 | Time(s) 0.0126
Epoch 00032 | Loss 0.0001 | Test Acc 0.7200 | Time(s) 0.0126
Epoch 00033 | Loss 0.0000 | Test Acc 0.7200 | Time(s) 0.0127
Epoch 00034 | Loss 0.0000 | Test Acc 0.7220 | Time(s) 0.0128
Epoch 00035 | Loss 0.0000 | Test Acc 0.7230 | Time(s) 0.0128
Epoch 00036 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0129
Epoch 00037 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0129
Epoch 00038 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0130
Epoch 00039 | Loss 0.0000 | Test Acc 0.7260 | Time(s) 0.0130
Epoch 00040 | Loss 0.0000 | Test Acc 0.7260 | Time(s) 0.0131
Epoch 00041 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00042 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0132
Epoch 00043 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00044 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00045 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00046 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00047 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00048 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00049 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00050 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00051 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00052 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00053 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00054 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00055 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00056 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0131
Epoch 00057 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0130
Epoch 00058 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0130
Epoch 00059 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0129
Epoch 00060 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0128
Epoch 00061 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0128
Epoch 00062 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0127
Epoch 00063 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0126
Epoch 00064 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0126
Epoch 00065 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0126
Epoch 00066 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0125
Epoch 00067 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0124
Epoch 00068 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0124
Epoch 00069 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0123
Epoch 00070 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0123
Epoch 00071 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0122
Epoch 00072 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0122
Epoch 00073 | Loss 0.0000 | Test Acc 0.7240 | Time(s) 0.0121
Epoch 00074 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0121
Epoch 00075 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0120
Epoch 00076 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0120
Epoch 00077 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0120
Epoch 00078 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0119
Epoch 00079 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0119
Epoch 00080 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0118
Epoch 00081 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0118
Epoch 00082 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0118
Epoch 00083 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0117
Epoch 00084 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0117
Epoch 00085 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0116
Epoch 00086 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0116
Epoch 00087 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0116
Epoch 00088 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0115
Epoch 00089 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0115
Epoch 00090 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0115
Epoch 00091 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0115
Epoch 00092 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0114
Epoch 00093 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0114
Epoch 00094 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0114
Epoch 00095 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0113
Epoch 00096 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0113
Epoch 00097 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0113
Epoch 00098 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0113
Epoch 00099 | Loss 0.0000 | Test Acc 0.7250 | Time(s) 0.0112
Best Test Acc 0.7800 at Epoch 00011
