Epoch 00000 | Loss 3.7065 | Test Acc 0.3755 | Time(s) nan
Epoch 00001 | Loss 3.2984 | Test Acc 0.3904 | Time(s) nan
Epoch 00002 | Loss 2.8953 | Test Acc 0.4138 | Time(s) nan
Epoch 00003 | Loss 2.5563 | Test Acc 0.5772 | Time(s) 0.5905
Epoch 00004 | Loss 2.2072 | Test Acc 0.6340 | Time(s) 0.5909
Epoch 00005 | Loss 1.9570 | Test Acc 0.6491 | Time(s) 0.5911
Epoch 00006 | Loss 1.7372 | Test Acc 0.7013 | Time(s) 0.5919
Epoch 00007 | Loss 1.5384 | Test Acc 0.7420 | Time(s) 0.5926
Epoch 00008 | Loss 1.3106 | Test Acc 0.7655 | Time(s) 0.5923
Epoch 00009 | Loss 1.1266 | Test Acc 0.8053 | Time(s) 0.5923
Epoch 00010 | Loss 0.9773 | Test Acc 0.8151 | Time(s) 0.5923
Epoch 00011 | Loss 0.8851 | Test Acc 0.8260 | Time(s) 0.5923
Epoch 00012 | Loss 0.8126 | Test Acc 0.8297 | Time(s) 0.5922
Epoch 00013 | Loss 0.7574 | Test Acc 0.8428 | Time(s) 0.5923
Epoch 00014 | Loss 0.7096 | Test Acc 0.8586 | Time(s) 0.5923
Epoch 00015 | Loss 0.6765 | Test Acc 0.8675 | Time(s) 0.5922
Epoch 00016 | Loss 0.6372 | Test Acc 0.8731 | Time(s) 0.5922
Epoch 00017 | Loss 0.6081 | Test Acc 0.8871 | Time(s) 0.5920
Epoch 00018 | Loss 0.5799 | Test Acc 0.8859 | Time(s) 0.5920
Epoch 00019 | Loss 0.5667 | Test Acc 0.9023 | Time(s) 0.5920
Epoch 00020 | Loss 0.5317 | Test Acc 0.8969 | Time(s) 0.5919
Epoch 00021 | Loss 0.5236 | Test Acc 0.9038 | Time(s) 0.5919
Epoch 00022 | Loss 0.4990 | Test Acc 0.9079 | Time(s) 0.5919
Epoch 00023 | Loss 0.4811 | Test Acc 0.9089 | Time(s) 0.5919
Epoch 00024 | Loss 0.4665 | Test Acc 0.9140 | Time(s) 0.5922
Epoch 00025 | Loss 0.4550 | Test Acc 0.9165 | Time(s) 0.5922
Epoch 00026 | Loss 0.4462 | Test Acc 0.9182 | Time(s) 0.5924
Epoch 00027 | Loss 0.4327 | Test Acc 0.9188 | Time(s) 0.5923
Epoch 00028 | Loss 0.4217 | Test Acc 0.9215 | Time(s) 0.5923
Epoch 00029 | Loss 0.4102 | Test Acc 0.9222 | Time(s) 0.5923
Epoch 00030 | Loss 0.4033 | Test Acc 0.9234 | Time(s) 0.5922
Epoch 00031 | Loss 0.3949 | Test Acc 0.9241 | Time(s) 0.5922
Epoch 00032 | Loss 0.3863 | Test Acc 0.9250 | Time(s) 0.5923
Epoch 00033 | Loss 0.3802 | Test Acc 0.9263 | Time(s) 0.5922
Epoch 00034 | Loss 0.3721 | Test Acc 0.9269 | Time(s) 0.5922
Epoch 00035 | Loss 0.3668 | Test Acc 0.9277 | Time(s) 0.5922
Epoch 00036 | Loss 0.3621 | Test Acc 0.9284 | Time(s) 0.5921
Epoch 00037 | Loss 0.3573 | Test Acc 0.9291 | Time(s) 0.5921
Epoch 00038 | Loss 0.3523 | Test Acc 0.9292 | Time(s) 0.5921
Epoch 00039 | Loss 0.3480 | Test Acc 0.9294 | Time(s) 0.5921
Epoch 00040 | Loss 0.3443 | Test Acc 0.9295 | Time(s) 0.5921
Epoch 00041 | Loss 0.3404 | Test Acc 0.9303 | Time(s) 0.5920
Epoch 00042 | Loss 0.3372 | Test Acc 0.9317 | Time(s) 0.5921
Epoch 00043 | Loss 0.3336 | Test Acc 0.9318 | Time(s) 0.5921
Epoch 00044 | Loss 0.3301 | Test Acc 0.9322 | Time(s) 0.5920
Epoch 00045 | Loss 0.3271 | Test Acc 0.9329 | Time(s) 0.5921
Epoch 00046 | Loss 0.3238 | Test Acc 0.9336 | Time(s) 0.5921
Epoch 00047 | Loss 0.3206 | Test Acc 0.9340 | Time(s) 0.5920
Epoch 00048 | Loss 0.3180 | Test Acc 0.9343 | Time(s) 0.5920
Epoch 00049 | Loss 0.3155 | Test Acc 0.9352 | Time(s) 0.5920
Epoch 00050 | Loss 0.3126 | Test Acc 0.9355 | Time(s) 0.5920
Epoch 00051 | Loss 0.3099 | Test Acc 0.9360 | Time(s) 0.5920
Epoch 00052 | Loss 0.3078 | Test Acc 0.9362 | Time(s) 0.5920
Epoch 00053 | Loss 0.3056 | Test Acc 0.9363 | Time(s) 0.5922
Epoch 00054 | Loss 0.3031 | Test Acc 0.9366 | Time(s) 0.5921
Epoch 00055 | Loss 0.3010 | Test Acc 0.9370 | Time(s) 0.5922
Epoch 00056 | Loss 0.2988 | Test Acc 0.9376 | Time(s) 0.5921
Epoch 00057 | Loss 0.2966 | Test Acc 0.9378 | Time(s) 0.5921
Epoch 00058 | Loss 0.2947 | Test Acc 0.9382 | Time(s) 0.5921
Epoch 00059 | Loss 0.2929 | Test Acc 0.9384 | Time(s) 0.5921
Epoch 00060 | Loss 0.2911 | Test Acc 0.9385 | Time(s) 0.5921
Epoch 00061 | Loss 0.2891 | Test Acc 0.9386 | Time(s) 0.5921
Epoch 00062 | Loss 0.2874 | Test Acc 0.9391 | Time(s) 0.5921
Epoch 00063 | Loss 0.2856 | Test Acc 0.9393 | Time(s) 0.5921
Epoch 00064 | Loss 0.2840 | Test Acc 0.9396 | Time(s) 0.5922
Epoch 00065 | Loss 0.2825 | Test Acc 0.9397 | Time(s) 0.5922
Epoch 00066 | Loss 0.2809 | Test Acc 0.9396 | Time(s) 0.5922
Epoch 00067 | Loss 0.2795 | Test Acc 0.9398 | Time(s) 0.5921
Epoch 00068 | Loss 0.2781 | Test Acc 0.9401 | Time(s) 0.5921
Epoch 00069 | Loss 0.2767 | Test Acc 0.9403 | Time(s) 0.5921
Epoch 00070 | Loss 0.2756 | Test Acc 0.9400 | Time(s) 0.5922
Epoch 00071 | Loss 0.2754 | Test Acc 0.9394 | Time(s) 0.5921
Epoch 00072 | Loss 0.2767 | Test Acc 0.9370 | Time(s) 0.5921
Epoch 00073 | Loss 0.2819 | Test Acc 0.9388 | Time(s) 0.5921
Epoch 00074 | Loss 0.2777 | Test Acc 0.9410 | Time(s) 0.5921
Epoch 00075 | Loss 0.2708 | Test Acc 0.9407 | Time(s) 0.5921
Epoch 00076 | Loss 0.2710 | Test Acc 0.9400 | Time(s) 0.5921
Epoch 00077 | Loss 0.2722 | Test Acc 0.9403 | Time(s) 0.5921
Epoch 00078 | Loss 0.2712 | Test Acc 0.9415 | Time(s) 0.5921
Epoch 00079 | Loss 0.2671 | Test Acc 0.9398 | Time(s) 0.5921
Epoch 00080 | Loss 0.2701 | Test Acc 0.9383 | Time(s) 0.5921
Epoch 00081 | Loss 0.2743 | Test Acc 0.9408 | Time(s) 0.5920
Epoch 00082 | Loss 0.2653 | Test Acc 0.9364 | Time(s) 0.5920
Epoch 00083 | Loss 0.2792 | Test Acc 0.9364 | Time(s) 0.5920
Epoch 00084 | Loss 0.2793 | Test Acc 0.9371 | Time(s) 0.5920
Epoch 00085 | Loss 0.2776 | Test Acc 0.9393 | Time(s) 0.5920
Epoch 00086 | Loss 0.2692 | Test Acc 0.9400 | Time(s) 0.5920
Epoch 00087 | Loss 0.2685 | Test Acc 0.9393 | Time(s) 0.5920
Epoch 00088 | Loss 0.2684 | Test Acc 0.9390 | Time(s) 0.5920
Epoch 00089 | Loss 0.2674 | Test Acc 0.9406 | Time(s) 0.5921
Epoch 00090 | Loss 0.2626 | Test Acc 0.9409 | Time(s) 0.5921
Epoch 00091 | Loss 0.2636 | Test Acc 0.9418 | Time(s) 0.5921
Epoch 00092 | Loss 0.2589 | Test Acc 0.9411 | Time(s) 0.5921
Epoch 00093 | Loss 0.2598 | Test Acc 0.9420 | Time(s) 0.5920
Epoch 00094 | Loss 0.2577 | Test Acc 0.9425 | Time(s) 0.5920
Epoch 00095 | Loss 0.2542 | Test Acc 0.9411 | Time(s) 0.5920
Epoch 00096 | Loss 0.2568 | Test Acc 0.9426 | Time(s) 0.5920
Epoch 00097 | Loss 0.2518 | Test Acc 0.9418 | Time(s) 0.5920
Epoch 00098 | Loss 0.2538 | Test Acc 0.9427 | Time(s) 0.5920
Epoch 00099 | Loss 0.2509 | Test Acc 0.9426 | Time(s) 0.5920
Best Test Acc 0.9427 at Epoch 00098
