Epoch 00000 | Loss 3.7373 | Test Acc 0.3309 | Time(s) nan
Epoch 00001 | Loss 3.0489 | Test Acc 0.3997 | Time(s) nan
Epoch 00002 | Loss 2.5963 | Test Acc 0.5861 | Time(s) nan
Epoch 00003 | Loss 2.1564 | Test Acc 0.6323 | Time(s) 0.5934
Epoch 00004 | Loss 1.8276 | Test Acc 0.7481 | Time(s) 0.5928
Epoch 00005 | Loss 1.4882 | Test Acc 0.7494 | Time(s) 0.5930
Epoch 00006 | Loss 1.2648 | Test Acc 0.8018 | Time(s) 0.5925
Epoch 00007 | Loss 1.0427 | Test Acc 0.8259 | Time(s) 0.5923
Epoch 00008 | Loss 0.9166 | Test Acc 0.8385 | Time(s) 0.5921
Epoch 00009 | Loss 0.7929 | Test Acc 0.8479 | Time(s) 0.5921
Epoch 00010 | Loss 0.7186 | Test Acc 0.8685 | Time(s) 0.5920
Epoch 00011 | Loss 0.6548 | Test Acc 0.8940 | Time(s) 0.5922
Epoch 00012 | Loss 0.5928 | Test Acc 0.8987 | Time(s) 0.5922
Epoch 00013 | Loss 0.5532 | Test Acc 0.9025 | Time(s) 0.5923
Epoch 00014 | Loss 0.5326 | Test Acc 0.9084 | Time(s) 0.5922
Epoch 00015 | Loss 0.4997 | Test Acc 0.9127 | Time(s) 0.5922
Epoch 00016 | Loss 0.4770 | Test Acc 0.9159 | Time(s) 0.5926
Epoch 00017 | Loss 0.4614 | Test Acc 0.9190 | Time(s) 0.5925
Epoch 00018 | Loss 0.4499 | Test Acc 0.9208 | Time(s) 0.5924
Epoch 00019 | Loss 0.4365 | Test Acc 0.9234 | Time(s) 0.5924
Epoch 00020 | Loss 0.4202 | Test Acc 0.9254 | Time(s) 0.5923
Epoch 00021 | Loss 0.4079 | Test Acc 0.9271 | Time(s) 0.5923
Epoch 00022 | Loss 0.4000 | Test Acc 0.9277 | Time(s) 0.5927
Epoch 00023 | Loss 0.3895 | Test Acc 0.9285 | Time(s) 0.5927
Epoch 00024 | Loss 0.3803 | Test Acc 0.9295 | Time(s) 0.5926
Epoch 00025 | Loss 0.3719 | Test Acc 0.9309 | Time(s) 0.5925
Epoch 00026 | Loss 0.3605 | Test Acc 0.9317 | Time(s) 0.5925
Epoch 00027 | Loss 0.3518 | Test Acc 0.9326 | Time(s) 0.5924
Epoch 00028 | Loss 0.3480 | Test Acc 0.9323 | Time(s) 0.5924
Epoch 00029 | Loss 0.3446 | Test Acc 0.9341 | Time(s) 0.5924
Epoch 00030 | Loss 0.3368 | Test Acc 0.9352 | Time(s) 0.5924
Epoch 00031 | Loss 0.3304 | Test Acc 0.9357 | Time(s) 0.5923
Epoch 00032 | Loss 0.3258 | Test Acc 0.9353 | Time(s) 0.5923
Epoch 00033 | Loss 0.3216 | Test Acc 0.9352 | Time(s) 0.5923
Epoch 00034 | Loss 0.3169 | Test Acc 0.9361 | Time(s) 0.5923
Epoch 00035 | Loss 0.3134 | Test Acc 0.9366 | Time(s) 0.5923
Epoch 00036 | Loss 0.3091 | Test Acc 0.9371 | Time(s) 0.5923
Epoch 00037 | Loss 0.3044 | Test Acc 0.9378 | Time(s) 0.5923
Epoch 00038 | Loss 0.3009 | Test Acc 0.9388 | Time(s) 0.5922
Epoch 00039 | Loss 0.2972 | Test Acc 0.9399 | Time(s) 0.5922
Epoch 00040 | Loss 0.2941 | Test Acc 0.9401 | Time(s) 0.5922
Epoch 00041 | Loss 0.2906 | Test Acc 0.9399 | Time(s) 0.5923
Epoch 00042 | Loss 0.2878 | Test Acc 0.9399 | Time(s) 0.5923
Epoch 00043 | Loss 0.2850 | Test Acc 0.9408 | Time(s) 0.5923
Epoch 00044 | Loss 0.2821 | Test Acc 0.9409 | Time(s) 0.5923
Epoch 00045 | Loss 0.2797 | Test Acc 0.9411 | Time(s) 0.5923
Epoch 00046 | Loss 0.2771 | Test Acc 0.9413 | Time(s) 0.5923
Epoch 00047 | Loss 0.2746 | Test Acc 0.9412 | Time(s) 0.5923
Epoch 00048 | Loss 0.2719 | Test Acc 0.9418 | Time(s) 0.5923
Epoch 00049 | Loss 0.2697 | Test Acc 0.9422 | Time(s) 0.5923
Epoch 00050 | Loss 0.2676 | Test Acc 0.9426 | Time(s) 0.5923
Epoch 00051 | Loss 0.2653 | Test Acc 0.9429 | Time(s) 0.5924
Epoch 00052 | Loss 0.2633 | Test Acc 0.9433 | Time(s) 0.5924
Epoch 00053 | Loss 0.2611 | Test Acc 0.9432 | Time(s) 0.5924
Epoch 00054 | Loss 0.2592 | Test Acc 0.9433 | Time(s) 0.5925
Epoch 00055 | Loss 0.2573 | Test Acc 0.9435 | Time(s) 0.5925
Epoch 00056 | Loss 0.2555 | Test Acc 0.9438 | Time(s) 0.5925
Epoch 00057 | Loss 0.2536 | Test Acc 0.9441 | Time(s) 0.5925
Epoch 00058 | Loss 0.2517 | Test Acc 0.9440 | Time(s) 0.5925
Epoch 00059 | Loss 0.2500 | Test Acc 0.9443 | Time(s) 0.5925
Epoch 00060 | Loss 0.2483 | Test Acc 0.9439 | Time(s) 0.5925
Epoch 00061 | Loss 0.2466 | Test Acc 0.9442 | Time(s) 0.5925
Epoch 00062 | Loss 0.2451 | Test Acc 0.9442 | Time(s) 0.5925
Epoch 00063 | Loss 0.2435 | Test Acc 0.9443 | Time(s) 0.5925
Epoch 00064 | Loss 0.2419 | Test Acc 0.9445 | Time(s) 0.5924
Epoch 00065 | Loss 0.2404 | Test Acc 0.9447 | Time(s) 0.5924
Epoch 00066 | Loss 0.2390 | Test Acc 0.9449 | Time(s) 0.5924
Epoch 00067 | Loss 0.2375 | Test Acc 0.9451 | Time(s) 0.5924
Epoch 00068 | Loss 0.2361 | Test Acc 0.9453 | Time(s) 0.5924
Epoch 00069 | Loss 0.2347 | Test Acc 0.9454 | Time(s) 0.5924
Epoch 00070 | Loss 0.2334 | Test Acc 0.9455 | Time(s) 0.5924
Epoch 00071 | Loss 0.2321 | Test Acc 0.9457 | Time(s) 0.5923
Epoch 00072 | Loss 0.2307 | Test Acc 0.9459 | Time(s) 0.5923
Epoch 00073 | Loss 0.2295 | Test Acc 0.9459 | Time(s) 0.5924
Epoch 00074 | Loss 0.2282 | Test Acc 0.9461 | Time(s) 0.5923
Epoch 00075 | Loss 0.2270 | Test Acc 0.9461 | Time(s) 0.5923
Epoch 00076 | Loss 0.2258 | Test Acc 0.9463 | Time(s) 0.5923
Epoch 00077 | Loss 0.2246 | Test Acc 0.9463 | Time(s) 0.5923
Epoch 00078 | Loss 0.2234 | Test Acc 0.9464 | Time(s) 0.5923
Epoch 00079 | Loss 0.2223 | Test Acc 0.9466 | Time(s) 0.5924
Epoch 00080 | Loss 0.2211 | Test Acc 0.9468 | Time(s) 0.5924
Epoch 00081 | Loss 0.2200 | Test Acc 0.9469 | Time(s) 0.5924
Epoch 00082 | Loss 0.2189 | Test Acc 0.9469 | Time(s) 0.5924
Epoch 00083 | Loss 0.2178 | Test Acc 0.9468 | Time(s) 0.5923
Epoch 00084 | Loss 0.2167 | Test Acc 0.9470 | Time(s) 0.5923
Epoch 00085 | Loss 0.2156 | Test Acc 0.9469 | Time(s) 0.5923
Epoch 00086 | Loss 0.2146 | Test Acc 0.9470 | Time(s) 0.5923
Epoch 00087 | Loss 0.2136 | Test Acc 0.9471 | Time(s) 0.5923
Epoch 00088 | Loss 0.2125 | Test Acc 0.9472 | Time(s) 0.5923
Epoch 00089 | Loss 0.2115 | Test Acc 0.9475 | Time(s) 0.5923
