Epoch 00000 | Loss 3.7228 | Test Acc 0.3807 | Time(s) nan
Epoch 00001 | Loss 3.1936 | Test Acc 0.4444 | Time(s) nan
Epoch 00002 | Loss 2.7171 | Test Acc 0.5111 | Time(s) nan
Epoch 00003 | Loss 2.3203 | Test Acc 0.6147 | Time(s) 0.5923
Epoch 00004 | Loss 1.9445 | Test Acc 0.6966 | Time(s) 0.5926
Epoch 00005 | Loss 1.6333 | Test Acc 0.7483 | Time(s) 0.5929
Epoch 00006 | Loss 1.3437 | Test Acc 0.7885 | Time(s) 0.5929
Epoch 00007 | Loss 1.1228 | Test Acc 0.8218 | Time(s) 0.5936
Epoch 00008 | Loss 0.9407 | Test Acc 0.8413 | Time(s) 0.5933
Epoch 00009 | Loss 0.8408 | Test Acc 0.8329 | Time(s) 0.5930
Epoch 00010 | Loss 0.7823 | Test Acc 0.8547 | Time(s) 0.5929
Epoch 00011 | Loss 0.6850 | Test Acc 0.8482 | Time(s) 0.5932
Epoch 00012 | Loss 0.6724 | Test Acc 0.8556 | Time(s) 0.5941
Epoch 00013 | Loss 0.6609 | Test Acc 0.8681 | Time(s) 0.5959
Epoch 00014 | Loss 0.6178 | Test Acc 0.8919 | Time(s) 0.5955
Epoch 00015 | Loss 0.5613 | Test Acc 0.8942 | Time(s) 0.5953
Epoch 00016 | Loss 0.5381 | Test Acc 0.9028 | Time(s) 0.5951
Epoch 00017 | Loss 0.5272 | Test Acc 0.9090 | Time(s) 0.5949
Epoch 00018 | Loss 0.4883 | Test Acc 0.9095 | Time(s) 0.5948
Epoch 00019 | Loss 0.4849 | Test Acc 0.9115 | Time(s) 0.5949
Epoch 00020 | Loss 0.4704 | Test Acc 0.9177 | Time(s) 0.5947
Epoch 00021 | Loss 0.4489 | Test Acc 0.9182 | Time(s) 0.5945
Epoch 00022 | Loss 0.4370 | Test Acc 0.9209 | Time(s) 0.5944
Epoch 00023 | Loss 0.4219 | Test Acc 0.9246 | Time(s) 0.5943
